 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00267511  -0.00504866   0.00571360       -62.08
     2   0.00207212  -0.00534281   0.00573055       -68.80
     3   0.00142380  -0.00555875   0.00573819       -75.63
     4   0.00073670  -0.00569643   0.00574387       -82.63
     5   0.00003133  -0.00574670   0.00574678       -89.69
     6  -0.00067779  -0.00570678   0.00574689       -96.77
     7  -0.00137682  -0.00557600   0.00574347      -103.87
     8  -0.00205305  -0.00535592   0.00573593      -110.97
     9  -0.00269460  -0.00504990   0.00572385      -118.08
    10  -0.00329050  -0.00466294   0.00570705      -125.21
    11  -0.00383074  -0.00420147   0.00568568      -132.36
    12  -0.00430637  -0.00367322   0.00566016      -139.54
    13  -0.00470963  -0.00308704   0.00563121      -146.76
    14  -0.00503402  -0.00245275   0.00559976      -154.02
    15  -0.00527441  -0.00178093   0.00556696      -161.34
    16  -0.00542709  -0.00108277   0.00553405      -168.72
    17  -0.00548986  -0.00036983   0.00550231      -176.15
    18  -0.00546200   0.00034608   0.00547296      -183.63
    19  -0.00534431   0.00105318   0.00544709      -191.15
    20  -0.00513907   0.00173988   0.00542561      -198.70
    21  -0.00485000   0.00239495   0.00540909      -206.28
    22  -0.00448219   0.00300776   0.00539784      -213.86
    23  -0.00404202   0.00356838   0.00539178      -221.44
    24  -0.00353703   0.00406781   0.00539052      -228.99
    25  -0.00297580   0.00449811   0.00539337      -236.51
    26  -0.00236778   0.00485249   0.00539936      -243.99
    27  -0.00172319   0.00512546   0.00540738      -251.42
    28  -0.00105276   0.00531289   0.00541619      -258.79
    29  -0.00036763   0.00541209   0.00542456      -266.11
    30   0.00032088   0.00542185   0.00543134      -273.39
    31   0.00100146   0.00534245   0.00543550      -280.62
    32   0.00166296   0.00517566   0.00543625      -287.81
    33   0.00229464   0.00492471   0.00543306      -294.98
    34   0.00288628   0.00459427   0.00542567      -302.14
    35   0.00342839   0.00419038   0.00541417      -309.29
    36   0.00391237   0.00372049   0.00539895      -316.44
    37   0.00433064   0.00319342   0.00538074      -323.59
    38   0.00467680   0.00261999   0.00536067      -330.74
    39   0.00494571   0.00201279   0.00533960      -337.85
    40   0.00513385   0.00139555   0.00532015      -344.79
    41   0.00523843   0.00077586   0.00529557      -351.58
    42   0.00526372   0.00034535   0.00527504      -356.25
    43   0.00630742  -0.00089105   0.00637004        -8.04
    44   0.00613846  -0.00148885   0.00631644       -13.63
    45   0.00587804  -0.00206833   0.00623132       -19.39
    46   0.00553930  -0.00261600   0.00612595       -25.28
    47   0.00512404  -0.00311311   0.00599561       -31.28
    48   0.00475369  -0.00345889   0.00587890       -36.04
    49   0.00164530   0.00131239   0.00210461        38.58
    50   0.00137507   0.00109929   0.00176047        38.64
    51   0.00088574   0.00071216   0.00113654        38.80
    52  -0.00267511   0.00504866   0.00571360       117.92
    53  -0.00207212   0.00534281   0.00573055       111.20
    54  -0.00142380   0.00555875   0.00573819       104.37
    55  -0.00073670   0.00569643   0.00574387        97.37
    56  -0.00003133   0.00574670   0.00574678        90.31
    57   0.00067779   0.00570678   0.00574689        83.23
    58   0.00137682   0.00557600   0.00574347        76.13
    59   0.00205305   0.00535592   0.00573593        69.03
    60   0.00269460   0.00504990   0.00572385        61.92
    61   0.00329050   0.00466294   0.00570705        54.79
    62   0.00383074   0.00420147   0.00568568        47.64
    63   0.00430637   0.00367322   0.00566016        40.46
