 [antenna_pattern.dat]

  É” = 90.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
   -90.000  -30.0000  -23.3225  -29.3145  -29.3145
   -89.000  -30.0000  -23.3165  -28.9115  -29.4786
   -88.000  -30.0000  -23.2978  -28.3003  -29.4106
   -87.000  -29.1953  -23.2640  -27.5354  -29.1519
   -86.000  -26.6910  -23.2116  -26.6746  -28.7602
   -85.000  -24.7456  -23.1356  -25.7667  -28.2913
   -84.000  -23.1533  -23.0306  -24.8464  -27.7892
   -83.000  -21.8042  -22.8905  -23.9361  -27.2840
   -82.000  -20.6327  -22.7097  -23.0489  -26.7947
   -81.000  -19.5965  -22.4835  -22.1917  -26.3319
   -80.000  -18.6669  -22.2086  -21.3677  -25.9011
   -79.000  -17.8231  -21.8840  -20.5776  -25.5044
   -78.000  -17.0501  -21.5106  -19.8208  -25.1423
   -77.000  -16.3364  -21.0916  -19.0961  -24.8137
   -76.000  -15.6730  -20.6319  -18.4017  -24.5174
   -75.000  -15.0529  -20.1377  -17.7359  -24.2517
   -74.000  -14.4703  -19.6155  -17.0970  -24.0149
   -73.000  -13.9207  -19.0721  -16.4831  -23.8054
   -72.000  -13.4003  -18.5140  -15.8928  -23.6214
   -71.000  -12.9058  -17.9469  -15.3244  -23.4615
   -70.000  -12.4346  -17.3757  -14.7767  -23.3243
   -69.000  -11.9844  -16.8048  -14.2483  -23.2087
   -68.000  -11.5532  -16.2373  -13.7381  -23.1133
   -67.000  -11.1393  -15.6762  -13.2450  -23.0373
   -66.000  -10.7414  -15.1234  -12.7682  -22.9797
   -65.000  -10.3582  -14.5806  -12.3066  -22.9396
   -64.000   -9.9884  -14.0489  -11.8596  -22.9164
   -63.000   -9.6313  -13.5290  -11.4264  -22.9093
   -62.000   -9.2859  -13.0217  -11.0063  -22.9179
   -61.000   -8.9515  -12.5271  -10.5987  -22.9415
   -60.000   -8.6274  -12.0454  -10.2032  -22.9797
   -59.000   -8.3130  -11.5767   -9.8191  -23.0321
   -58.000   -8.0079  -11.1209   -9.4460  -23.0984
   -57.000   -7.7114  -10.6779   -9.0834  -23.1782
   -56.000   -7.4232  -10.2474   -8.7311  -23.2713
   -55.000   -7.1430   -9.8293   -8.3886  -23.3775
   -54.000   -6.8704   -9.4233   -8.0556  -23.4966
   -53.000   -6.6050   -9.0291   -7.7317  -23.6284
   -52.000   -6.3466   -8.6465   -7.4168  -23.7728
   -51.000   -6.0950   -8.2751   -7.1105  -23.9297
   -50.000   -5.8500   -7.9147   -6.8125  -24.0991
   -49.000   -5.6113   -7.5651   -6.5228  -24.2809
   -48.000   -5.3787   -7.2259   -6.2409  -24.4753
   -47.000   -5.1521   -6.8969   -5.9668  -24.6821
   -46.000   -4.9314   -6.5779   -5.7003  -24.9014
   -45.000   -4.7164   -6.2685   -5.4412  -25.1334
   -44.000   -4.5070   -5.9685   -5.1893  -25.3781
   -43.000   -4.3030   -5.6778   -4.9445  -25.6356
   -42.000   -4.1045   -5.3962   -4.7066  -25.9062
   -41.000   -3.9112   -5.1233   -4.4756  -26.1900
   -40.000   -3.7231   -4.8590   -4.2513  -26.4871
   -39.000   -3.5402   -4.6032   -4.0335  -26.7979
   -38.000   -3.3623   -4.3556   -3.8222  -27.1225
   -37.000   -3.1894   -4.1160   -3.6173  -27.4613
   -36.000   -3.0215   -3.8844   -3.4187  -27.8145
   -35.000   -2.8585   -3.6606   -3.2263  -28.1823
   -34.000   -2.7003   -3.4444   -3.0400  -28.5652
   -33.000   -2.5470   -3.2357   -2.8597  -28.9633
   -32.000   -2.3984   -3.0344   -2.6854  -29.3771
   -31.000   -2.2546   -2.8403   -2.5170  -29.8069
   -30.000   -2.1154   -2.6533   -2.3544  -30.0000
   -29.000   -1.9810   -2.4733   -2.1977  -30.0000
   -28.000   -1.8512   -2.3003   -2.0466  -30.0000
   -27.000   -1.7261   -2.1341   -1.9012  -30.0000
   -26.000   -1.6056   -1.9746   -1.7615  -30.0000
   -25.000   -1.4896   -1.8218   -1.6273  -30.0000
   -24.000   -1.3783   -1.6755   -1.4986  -30.0000
   -23.000   -1.2715   -1.5358   -1.3755  -30.0000
   -22.000   -1.1693   -1.4024   -1.2578  -30.0000
   -21.000   -1.0716   -1.2755   -1.1455  -30.0000
   -20.000   -0.9785   -1.1548   -1.0386  -30.0000
   -19.000   -0.8898   -1.0403   -0.9371  -30.0000
   -18.000   -0.8057   -0.9321   -0.8409  -30.0000
   -17.000   -0.7261   -0.8299   -0.7500  -30.0000
   -16.000   -0.6510   -0.7339   -0.6644  -30.0000
   -15.000   -0.5804   -0.6439   -0.5840  -30.0000
   -14.000   -0.5142   -0.5599   -0.5089  -30.0000
   -13.000   -0.4526   -0.4819   -0.4390  -30.0000
   -12.000   -0.3954   -0.4098   -0.3744  -30.0000
   -11.000   -0.3427   -0.3437   -0.3149  -30.0000
   -10.000   -0.2944   -0.2834   -0.2606  -30.0000
    -9.000   -0.2507   -0.2290   -0.2114  -30.0000
    -8.000   -0.2113   -0.1804   -0.1674  -30.0000
    -7.000   -0.1765   -0.1376   -0.1285  -30.0000
    -6.000   -0.1461   -0.1006   -0.0948  -30.0000
    -5.000   -0.1202   -0.0694   -0.0662  -30.0000
    -4.000   -0.0987   -0.0440   -0.0427  -30.0000
    -3.000   -0.0817   -0.0244   -0.0244  -30.0000
    -2.000   -0.0691   -0.0105   -0.0111  -30.0000
    -1.000   -0.0610   -0.0024   -0.0030  -30.0000
     0.000   -0.0573    0.0000    0.0000  -30.0000
     1.000   -0.0581   -0.0034   -0.0021  -30.0000
     2.000   -0.0634   -0.0126   -0.0093  -30.0000
     3.000   -0.0731   -0.0275   -0.0217  -30.0000
     4.000   -0.0873   -0.0483   -0.0391  -30.0000
     5.000   -0.1059   -0.0748   -0.0617  -30.0000
     6.000   -0.1290   -0.1072   -0.0894  -30.0000
     7.000   -0.1565   -0.1454   -0.1223  -30.0000
     8.000   -0.1885   -0.1894   -0.1604  -30.0000
     9.000   -0.2250   -0.2394   -0.2036  -30.0000
    10.000   -0.2659   -0.2952   -0.2520  -30.0000
    11.000   -0.3113   -0.3570   -0.3056  -30.0000
    12.000   -0.3612   -0.4247   -0.3644  -30.0000
    13.000   -0.4156   -0.4985   -0.4284  -30.0000
    14.000   -0.4744   -0.5783   -0.4977  -30.0000
    15.000   -0.5377   -0.6642   -0.5723  -30.0000
    16.000   -0.6055   -0.7562   -0.6522  -30.0000
    17.000   -0.6778   -0.8544   -0.7374  -30.0000
    18.000   -0.7546   -0.9589   -0.8279  -30.0000
    19.000   -0.8359   -1.0697   -0.9238  -30.0000
    20.000   -0.9218   -1.1868   -1.0252  -30.0000
    21.000   -1.0122   -1.3103   -1.1319  -30.0000
    22.000   -1.1071   -1.4404   -1.2442  -30.0000
    23.000   -1.2065   -1.5770   -1.3619  -30.0000
    24.000   -1.3105   -1.7203   -1.4853  -30.0000
    25.000   -1.4191   -1.8704   -1.6142  -30.0000
    26.000   -1.5323   -2.0273   -1.7488  -30.0000
    27.000   -1.6501   -2.1911   -1.8890  -30.0000
    28.000   -1.7725   -2.3620   -2.0350  -30.0000
    29.000   -1.8996   -2.5400   -2.1869  -29.8038
    30.000   -2.0313   -2.7254   -2.3446  -29.3077
    31.000   -2.1677   -2.9181   -2.5082  -28.8335
    32.000   -2.3089   -3.1184   -2.6778  -28.3800
    33.000   -2.4548   -3.3263   -2.8535  -27.9461
    34.000   -2.6055   -3.5421   -3.0354  -27.5310
    35.000   -2.7610   -3.7659   -3.2235  -27.1337
    36.000   -2.9214   -3.9979   -3.4179  -26.7536
    37.000   -3.0868   -4.2383   -3.6187  -26.3899
    38.000   -3.2570   -4.4872   -3.8260  -26.0421
    39.000   -3.4323   -4.7448   -4.0400  -25.7095
    40.000   -3.6127   -5.0115   -4.2607  -25.3918
    41.000   -3.7983   -5.2873   -4.4883  -25.0885
    42.000   -3.9891   -5.5727   -4.7229  -24.7991
    43.000   -4.1851   -5.8678   -4.9646  -24.5234
    44.000   -4.3866   -6.1729   -5.2137  -24.2611
    45.000   -4.5936   -6.4883   -5.4701  -24.0118
    46.000   -4.8062   -6.8143   -5.7342  -23.7754
    47.000   -5.0245   -7.1513   -6.0061  -23.5517
    48.000   -5.2487   -7.4997   -6.2861  -23.3405
    49.000   -5.4790   -7.8597   -6.5743  -23.1416
    50.000   -5.7154   -8.2318   -6.8709  -22.9550
    51.000   -5.9582   -8.6165   -7.1763  -22.7807
    52.000   -6.2075   -9.0141   -7.4906  -22.6186
    53.000   -6.4636   -9.4250   -7.8143  -22.4686
    54.000   -6.7268   -9.8499   -8.1475  -22.3309
    55.000   -6.9973  -10.2891   -8.4907  -22.2054
    56.000   -7.2755  -10.7432   -8.8442  -22.0924
    57.000   -7.5615  -11.2125   -9.2085  -21.9918
    58.000   -7.8560  -11.6977   -9.5839  -21.9040
    59.000   -8.1592  -12.1992   -9.9711  -21.8290
    60.000   -8.4716  -12.7173  -10.3704  -21.7671
    61.000   -8.7938  -13.2525  -10.7825  -21.7187
    62.000   -9.1263  -13.8048  -11.2080  -21.6840
    63.000   -9.4699  -14.3744  -11.6476  -21.6635
    64.000   -9.8253  -14.9610  -12.1021  -21.6575
    65.000  -10.1933  -15.5640  -12.5724  -21.6667
    66.000  -10.5749  -16.1824  -13.0593  -21.6915
    67.000  -10.9712  -16.8146  -13.5639  -21.7326
    68.000  -11.3834  -17.4579  -14.0875  -21.7907
    69.000  -11.8131  -18.1088  -14.6311  -21.8667
    70.000  -12.2619  -18.7623  -15.1964  -21.9614
    71.000  -12.7318  -19.4118  -15.7848  -22.0759
    72.000  -13.2249  -20.0488  -16.3980  -22.2114
    73.000  -13.7441  -20.6629  -17.0381  -22.3691
    74.000  -14.2925  -21.2424  -17.7071  -22.5506
    75.000  -14.8739  -21.7743  -18.4073  -22.7573
    76.000  -15.4930  -22.2462  -19.1412  -22.9911
    77.000  -16.1554  -22.6476  -19.9111  -23.2540
    78.000  -16.8682  -22.9718  -20.7195  -23.5482
    79.000  -17.6403  -23.2169  -21.5683  -23.8759
    80.000  -18.4833  -23.3865  -22.4586  -24.2397
    81.000  -19.4122  -23.4892  -23.3893  -24.6418
    82.000  -20.4477  -23.5365  -24.3557  -25.0843
    83.000  -21.6187  -23.5418  -25.3468  -25.5686
