 [antenna_conf.dat]

      NSEG      NWIR      NFED     NLOAD           FREQ0          RAMDA0            USEF
       210         7         1         0      1000000000      0.29979246      1000000000

Segment
   NO.           SX           SY           SZ             RX             RY             RZ           SEGL             RA     RAD_MODE
     0   -0.4127070    0.9108638    0.0000000       0.291727       0.120837       0.062500       0.020663       0.005000            1
     1   -0.4713967    0.8819213    0.0000000       0.283200       0.139659       0.062500       0.020663       0.005000            1
     2   -0.5280679    0.8492022    0.0000000       0.273459       0.157882       0.062500       0.020663       0.005000            1
     3   -0.5824777    0.8128467    0.0000000       0.262548       0.175429       0.062500       0.020663       0.005000            1
     4   -0.6343933    0.7730105    0.0000000       0.250512       0.192225       0.062500       0.020663       0.005000            1
     5   -0.6835923    0.7298641    0.0000000       0.237403       0.208197       0.062500       0.020663       0.005000            1
     6   -0.7298641    0.6835923    0.0000000       0.223278       0.223278       0.062500       0.020663       0.005000            1
     7   -0.7730105    0.6343933    0.0000000       0.208197       0.237403       0.062500       0.020663       0.005000            1
     8   -0.8128467    0.5824777    0.0000000       0.192225       0.250512       0.062500       0.020663       0.005000            1
     9   -0.8492022    0.5280679    0.0000000       0.175429       0.262548       0.062500       0.020663       0.005000            1
    10   -0.8819213    0.4713967    0.0000000       0.157882       0.273459       0.062500       0.020663       0.005000            1
    11   -0.9108638    0.4127070    0.0000000       0.139659       0.283200       0.062500       0.020663       0.005000            1
    12   -0.9359059    0.3522500    0.0000000       0.120837       0.291727       0.062500       0.020663       0.005000            1
    13   -0.9569403    0.2902847    0.0000000       0.101499       0.299006       0.062500       0.020663       0.005000            1
    14   -0.9738770    0.2270763    0.0000000       0.081726       0.305004       0.062500       0.020663       0.005000            1
    15   -0.9866433    0.1628955    0.0000000       0.061602       0.309696       0.062500       0.020663       0.005000            1
    16   -0.9951847    0.0980171    0.0000000       0.041215       0.313062       0.062500       0.020663       0.005000            1
    17   -0.9994646    0.0327191    0.0000000       0.020652       0.315087       0.062500       0.020663       0.005000            1
    18   -0.9994646   -0.0327191    0.0000000       0.000000       0.315763       0.062500       0.020663       0.005000            1
    19   -0.9951847   -0.0980171    0.0000000      -0.020652       0.315087       0.062500       0.020663       0.005000            1
    20   -0.9866433   -0.1628955    0.0000000      -0.041215       0.313062       0.062500       0.020663       0.005000            1
    21   -0.9738770   -0.2270763    0.0000000      -0.061602       0.309696       0.062500       0.020663       0.005000            1
    22   -0.9569403   -0.2902847    0.0000000      -0.081726       0.305004       0.062500       0.020663       0.005000            1
    23   -0.9359059   -0.3522500    0.0000000      -0.101499       0.299006       0.062500       0.020663       0.005000            1
    24   -0.9108638   -0.4127070    0.0000000      -0.120837       0.291727       0.062500       0.020663       0.005000            1
    25   -0.8819213   -0.4713967    0.0000000      -0.139659       0.283200       0.062500       0.020663       0.005000            1
    26   -0.8492022   -0.5280679    0.0000000      -0.157882       0.273459       0.062500       0.020663       0.005000            1
    27   -0.8128467   -0.5824777    0.0000000      -0.175429       0.262548       0.062500       0.020663       0.005000            1
    28   -0.7730105   -0.6343933    0.0000000      -0.192225       0.250512       0.062500       0.020663       0.005000            1
    29   -0.7298641   -0.6835923    0.0000000      -0.208197       0.237403       0.062500       0.020663       0.005000            1
    30   -0.6835923   -0.7298641    0.0000000      -0.223278       0.223278       0.062500       0.020663       0.005000            1
    31   -0.6343933   -0.7730105    0.0000000      -0.237403       0.208197       0.062500       0.020663       0.005000            1
    32   -0.5824777   -0.8128467    0.0000000      -0.250512       0.192225       0.062500       0.020663       0.005000            1
    33   -0.5280679   -0.8492022    0.0000000      -0.262548       0.175429       0.062500       0.020663       0.005000            1
    34   -0.4713967   -0.8819213    0.0000000      -0.273459       0.157882       0.062500       0.020663       0.005000            1
    35   -0.4127070   -0.9108638    0.0000000      -0.283200       0.139659       0.062500       0.020663       0.005000            1
    36   -0.3522500   -0.9359059    0.0000000      -0.291727       0.120837       0.062500       0.020663       0.005000            1
    37   -0.2902847   -0.9569403    0.0000000      -0.299006       0.101499       0.062500       0.020663       0.005000            1
    38   -0.2270763   -0.9738770    0.0000000      -0.305004       0.081726       0.062500       0.020663       0.005000            1
    39   -0.1628955   -0.9866433    0.0000000      -0.309696       0.061602       0.062500       0.020663       0.005000            1
    40   -0.0980171   -0.9951847    0.0000000      -0.313062       0.041215       0.062500       0.020663       0.005000            1
