 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00247126  -0.00481714   0.00541405       -62.84
     2   0.00191457  -0.00514986   0.00549424       -69.61
     3   0.00131434  -0.00540738   0.00556482       -76.34
     4   0.00067742  -0.00558831   0.00562922       -83.09
     5   0.00002359  -0.00568137   0.00568141       -89.76
     6  -0.00063373  -0.00568284   0.00571807       -96.36
     7  -0.00128173  -0.00559126   0.00573629      -102.91
     8  -0.00190863  -0.00540745   0.00573441      -109.44
     9  -0.00250338  -0.00513415   0.00571195      -115.99
    10  -0.00305566  -0.00477577   0.00566966      -122.61
    11  -0.00355605  -0.00433828   0.00560947      -129.34
    12  -0.00399607  -0.00382901   0.00553443      -136.22
    13  -0.00436831  -0.00325655   0.00544861      -143.30
    14  -0.00466659  -0.00263056   0.00535695      -150.59
    15  -0.00488596  -0.00196160   0.00526502      -158.13
    16  -0.00502285  -0.00126095   0.00517871      -165.91
    17  -0.00507509  -0.00054041   0.00510378      -173.92
    18  -0.00504197   0.00018790   0.00504547      -182.13
    19  -0.00492418   0.00091173   0.00500788      -190.49
    20  -0.00472389   0.00161895   0.00499361      -198.92
    21  -0.00444462   0.00229771   0.00500341      -207.34
    22  -0.00409123   0.00293665   0.00503608      -215.67
    23  -0.00366983   0.00352512   0.00508863      -223.85
    24  -0.00318765   0.00405333   0.00515660      -231.82
    25  -0.00265293   0.00451249   0.00523456      -239.55
    26  -0.00207479   0.00489503   0.00531658      -247.03
    27  -0.00146306   0.00519464   0.00539675      -254.27
    28  -0.00082810   0.00540646   0.00546951      -261.29
    29  -0.00018066   0.00552706   0.00553002      -268.13
    30   0.00046834   0.00555460   0.00557431      -274.82
    31   0.00110797   0.00548877   0.00559948      -281.41
    32   0.00172748   0.00533085   0.00560376      -287.96
    33   0.00231648   0.00508366   0.00558656      -294.50
    34   0.00286512   0.00475151   0.00554849      -301.09
    35   0.00336426   0.00434014   0.00549136      -307.78
    36   0.00380559   0.00385659   0.00541810      -314.62
    37   0.00418183   0.00330914   0.00533274      -321.64
    38   0.00448677   0.00270708   0.00524017      -328.90
    39   0.00471544   0.00206064   0.00514603      -336.39
    40   0.00486417   0.00138076   0.00505635      -344.15
    41   0.00493062   0.00067893   0.00497715      -352.16
    42   0.00491387  -0.00003303   0.00491399      -360.39
    43   0.00481439  -0.00074314   0.00487141      -368.77
    44   0.00463403  -0.00143945   0.00485245      -377.26
    45   0.00437603  -0.00211031   0.00485830      -385.75
    46   0.00404489  -0.00274449   0.00488808      -394.16
    47   0.00364637  -0.00333139   0.00493904      -402.42
    48   0.00318733  -0.00386124   0.00500682      -410.46
    49   0.00267564  -0.00432524   0.00508593      -418.26
    50   0.00212003  -0.00471572   0.00517036      -425.79
    51   0.00152998  -0.00502626   0.00525396      -433.07
    52   0.00091549  -0.00525178   0.00533097      -440.11
    53   0.00028698  -0.00538864   0.00539628      -446.95
    54  -0.00034494  -0.00543472   0.00544566      -453.63
    55  -0.00096960  -0.00538941   0.00547594      -460.20
    56  -0.00157651  -0.00525364   0.00548508      -466.70
    57  -0.00215547  -0.00502985   0.00547224      -473.20
    58  -0.00269679  -0.00472198   0.00543781      -479.73
    59  -0.00319143  -0.00433535   0.00538335      -486.36
    60  -0.00363117  -0.00387660   0.00531163      -493.13
    61  -0.00400871  -0.00335358   0.00522649      -500.09
    62  -0.00431782  -0.00277520   0.00513277      -507.27
    63  -0.00455346  -0.00215127   0.00503607      -514.71
    64  -0.00471181  -0.00149238   0.00494250      -522.43
    65  -0.00479037  -0.00080964   0.00485831      -530.41
    66  -0.00478799  -0.00011460   0.00478936      -538.63
    67  -0.00470489   0.00058107   0.00474063      -547.04
    68  -0.00454263   0.00126566   0.00471565      -555.57
    69  -0.00430412   0.00192770   0.00471608      -564.13
    70  -0.00399354   0.00255610   0.00474152      -572.62
    71  -0.00361627   0.00314037   0.00478951      -580.97
    72  -0.00317881   0.00367079   0.00485587      -589.11
