 [antenna_pattern.dat]

  É” = 90.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
   -90.000  -30.0000  -21.4355  -27.4320  -27.4320
   -89.000  -30.0000  -21.4517  -27.6063  -26.8138
   -88.000  -27.5913  -21.4979  -27.1879  -25.9760
   -87.000  -24.0652  -21.5659  -26.2395  -25.0858
   -86.000  -21.5606  -21.6413  -24.9738  -24.2319
   -85.000  -19.6150  -21.7030  -23.5918  -23.4512
   -84.000  -18.0224  -21.7225  -22.2146  -22.7542
   -83.000  -16.6730  -21.6666  -20.8980  -22.1399
   -82.000  -15.5014  -21.5013  -19.6617  -21.6028
   -81.000  -14.4652  -21.1999  -18.5084  -21.1359
   -80.000  -13.5358  -20.7504  -17.4338  -20.7326
   -79.000  -12.6926  -20.1594  -16.4312  -20.3866
   -78.000  -11.9206  -19.4496  -15.4935  -20.0925
   -77.000  -11.2084  -18.6522  -14.6141  -19.8457
   -76.000  -10.5470  -17.7998  -13.7869  -19.6421
   -75.000   -9.9297  -16.9203  -13.0068  -19.4785
   -74.000   -9.3507  -16.0358  -12.2693  -19.3518
   -73.000   -8.8055  -15.1615  -11.5705  -19.2596
   -72.000   -8.2906  -14.3078  -10.9070  -19.2001
   -71.000   -7.8027  -13.4811  -10.2760  -19.1713
   -70.000   -7.3393  -12.6849   -9.6749  -19.1720
   -69.000   -6.8984  -11.9208   -9.1017  -19.2009
   -68.000   -6.4780  -11.1894   -8.5543  -19.2571
   -67.000   -6.0766  -10.4904   -8.0313  -19.3399
   -66.000   -5.6929   -9.8230   -7.5310  -19.4486
   -65.000   -5.3258   -9.1861   -7.0524  -19.5830
   -64.000   -4.9744   -8.5787   -6.5942  -19.7428
   -63.000   -4.6377   -7.9994   -6.1555  -19.9278
   -62.000   -4.3152   -7.4472   -5.7355  -20.1382
   -61.000   -4.0061   -6.9208   -5.3333  -20.3742
   -60.000   -3.7100   -6.4192   -4.9483  -20.6362
   -59.000   -3.4265   -5.9413   -4.5799  -20.9248
   -58.000   -3.1551   -5.4862   -4.2276  -21.2405
   -57.000   -2.8956   -5.0530   -3.8909  -21.5843
   -56.000   -2.6477   -4.6410   -3.5694  -21.9574
   -55.000   -2.4112   -4.2493   -3.2628  -22.3610
   -54.000   -2.1859   -3.8773   -2.9707  -22.7968
   -53.000   -1.9716   -3.5245   -2.6929  -23.2665
   -52.000   -1.7683   -3.1903   -2.4291  -23.7725
   -51.000   -1.5759   -2.8741   -2.1791  -24.3175
   -50.000   -1.3944   -2.5757   -1.9429  -24.9047
   -49.000   -1.2237   -2.2945   -1.7202  -25.5380
   -48.000   -1.0639   -2.0304   -1.5109  -26.2219
   -47.000   -0.9150   -1.7829   -1.3151  -26.9624
   -46.000   -0.7770   -1.5519   -1.1325  -27.7664
   -45.000   -0.6500   -1.3371   -0.9633  -28.6431
   -44.000   -0.5342   -1.1384   -0.8074  -29.6037
   -43.000   -0.4295   -0.9556   -0.6649  -30.0000
   -42.000   -0.3363   -0.7888   -0.5358  -30.0000
   -41.000   -0.2546   -0.6377   -0.4202  -30.0000
   -40.000   -0.1846   -0.5025   -0.3182  -30.0000
   -39.000   -0.1266   -0.3830   -0.2299  -30.0000
   -38.000   -0.0807   -0.2795   -0.1555  -30.0000
   -37.000   -0.0472   -0.1919   -0.0953  -30.0000
   -36.000   -0.0264   -0.1205   -0.0493  -30.0000
   -35.000   -0.0186   -0.0654   -0.0179  -30.0000
   -34.000   -0.0241   -0.0267   -0.0014  -30.0000
   -33.000   -0.0433   -0.0048    0.0000  -30.0000
   -32.000   -0.0766    0.0000   -0.0142  -30.0000
   -31.000   -0.1245   -0.0126   -0.0443  -30.0000
   -30.000   -0.1874   -0.0431   -0.0909  -30.0000
   -29.000   -0.2658   -0.0919   -0.1544  -30.0000
   -28.000   -0.3604   -0.1595   -0.2354  -30.0000
   -27.000   -0.4718   -0.2467   -0.3345  -30.0000
   -26.000   -0.6008   -0.3540   -0.4525  -30.0000
   -25.000   -0.7481   -0.4824   -0.5902  -30.0000
   -24.000   -0.9146   -0.6326   -0.7485  -30.0000
   -23.000   -1.1014   -0.8059   -0.9284  -30.0000
   -22.000   -1.3096   -1.0033   -1.1312  -30.0000
   -21.000   -1.5405   -1.2264   -1.3580  -30.0000
   -20.000   -1.7955   -1.4765   -1.6106  -30.0000
   -19.000   -2.0764   -1.7557   -1.8905  -30.0000
   -18.000   -2.3850   -2.0659   -2.2000  -30.0000
   -17.000   -2.7235   -2.4099   -2.5413  -30.0000
   -16.000   -3.0946   -2.7904   -2.9172  -30.0000
   -15.000   -3.5013   -3.2111   -3.3310  -30.0000
   -14.000   -3.9473   -3.6762   -3.7867  -30.0000
   -13.000   -4.4370   -4.1909   -4.2890  -30.0000
   -12.000   -4.9756   -4.7616   -4.8439  -30.0000
   -11.000   -5.5697   -5.3962   -5.4585  -30.0000
   -10.000   -6.2276   -6.1049   -6.1420  -30.0000
    -9.000   -6.9597   -6.9010   -6.9063  -30.0000
    -8.000   -7.7797   -7.8021   -7.7671  -30.0000
    -7.000   -8.7059   -8.8325   -8.7455  -30.0000
    -6.000   -9.7638  -10.0268   -9.8713  -30.0000
    -5.000  -10.9896  -11.4370  -11.1884  -30.0000
    -4.000  -12.4387  -13.1456  -12.7649  -30.0000
    -3.000  -14.2005  -15.2961  -14.7157  -30.0000
    -2.000  -16.4351  -18.1695  -17.2566  -30.0000
    -1.000  -19.4740  -22.4218  -20.8729  -30.0000
     0.000  -24.2109  -29.6491  -27.0564  -30.0000
     1.000  -30.0000  -28.6592  -30.0000  -30.0000
     2.000  -30.0000  -21.8384  -25.2957  -30.0000
     3.000  -22.7813  -17.8033  -19.9532  -30.0000
     4.000  -18.6429  -15.0375  -16.6550  -29.8624
     5.000  -15.8698  -12.9511  -14.2823  -29.2351
     6.000  -13.7902  -11.2856  -12.4379  -28.6695
     7.000  -12.1329   -9.9070  -10.9364  -28.1599
     8.000  -10.7613   -8.7372   -9.6762  -27.7016
     9.000   -9.5966   -7.7267   -8.5960  -27.2908
    10.000   -8.5894   -6.8423   -7.6557  -26.9244
    11.000   -7.7066   -6.0607   -6.8276  -26.5999
