 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00331902  -0.00542367   0.00635862       -58.54
     2   0.00257602  -0.00572433   0.00627725       -65.77
     3   0.00177611  -0.00593445   0.00619454       -73.34
     4   0.00092854  -0.00605469   0.00612548       -81.28
     5   0.00005939  -0.00607658   0.00607687       -89.44
     6  -0.00081249  -0.00599854   0.00605331       -97.71
     7  -0.00166922  -0.00582144   0.00605603      -106.00
     8  -0.00249453  -0.00554866   0.00608362      -114.21
     9  -0.00327348  -0.00518564   0.00613241      -122.26
    10  -0.00399256  -0.00473952   0.00619706      -130.11
    11  -0.00463983  -0.00421893   0.00627115      -137.72
    12  -0.00520502  -0.00363367   0.00634790      -145.08
    13  -0.00567959  -0.00299448   0.00642065      -152.20
    14  -0.00605684  -0.00231276   0.00648338      -159.10
    15  -0.00633189  -0.00160032   0.00653099      -165.82
    16  -0.00650169  -0.00086917   0.00655953      -172.39
    17  -0.00656497  -0.00013128   0.00656628      -178.85
    18  -0.00652216   0.00060157   0.00654985      -185.27
    19  -0.00637532   0.00131802   0.00651014      -191.68
    20  -0.00612798   0.00200720   0.00644833      -198.14
    21  -0.00578508   0.00265890   0.00636686      -204.68
    22  -0.00535281   0.00326365   0.00626929      -211.37
    23  -0.00483849   0.00381279   0.00616022      -218.24
    24  -0.00425047   0.00429854   0.00604516      -225.32
    25  -0.00359799   0.00471409   0.00593028      -232.65
    26  -0.00289110   0.00505359   0.00582213      -240.23
    27  -0.00214052   0.00531224   0.00572728      -248.05
    28  -0.00135754   0.00548634   0.00565180      -256.10
    29  -0.00055395   0.00557329   0.00560075      -264.32
    30   0.00025813   0.00557170   0.00557768      -272.65
    31   0.00106635   0.00548140   0.00558416      -281.01
    32   0.00185826   0.00530348   0.00561961      -289.31
    33   0.00262149   0.00504036   0.00568132      -297.48
    34   0.00334391   0.00469581   0.00576475      -305.45
    35   0.00401380   0.00427501   0.00586398      -313.19
    36   0.00462007   0.00378458   0.00597227      -320.68
    37   0.00515249   0.00323272   0.00608265      -327.90
    38   0.00560188   0.00262986   0.00618847      -334.85
    39   0.00596035   0.00198837   0.00628326      -341.55
    40   0.00622155   0.00133244   0.00636263      -347.91
    41   0.00638045   0.00066929   0.00641546      -354.01
    42   0.00643545   0.00019974   0.00643855      -358.22
    43   0.00766260  -0.00099212   0.00772656        -7.38
    44   0.00747652  -0.00164489   0.00765532       -12.41
    45   0.00717302  -0.00227946   0.00752650       -17.63
    46   0.00676838  -0.00287834   0.00735499       -23.04
    47   0.00626528  -0.00341812   0.00713704       -28.62
    48   0.00580977  -0.00379260   0.00693810       -33.14
    49   0.00195481   0.00133731   0.00236847        34.38
    50   0.00163155   0.00111780   0.00197773        34.42
    51   0.00104804   0.00072102   0.00127210        34.53
    52  -0.00570025   0.00252926   0.00623618       156.07
    53  -0.00541438   0.00311659   0.00624729       150.07
    54  -0.00503419   0.00367187   0.00623102       143.89
    55  -0.00456544   0.00418929   0.00619624       137.46
    56  -0.00401894   0.00464786   0.00614447       130.85
    57  -0.00340466   0.00503652   0.00607933       124.06
    58  -0.00273345   0.00534642   0.00600466       117.08
    59  -0.00201679   0.00557120   0.00592501       109.90
    60  -0.00126681   0.00570642   0.00584534       102.52
    61  -0.00049610   0.00574942   0.00577079        94.93
    62   0.00028248   0.00569928   0.00570628        87.16
    63   0.00105596   0.00555673   0.00565617        79.24
    64   0.00181152   0.00532410   0.00562384        71.21
    65   0.00253664   0.00500528   0.00561136        63.12
    66   0.00321937   0.00460561   0.00561925        55.05
    67   0.00384846   0.00413182   0.00564646        47.03
    68   0.00441361   0.00359183   0.00569045        39.14
    69   0.00490558   0.00299471   0.00574744        31.40
    70   0.00531641   0.00235045   0.00581281        23.85
    71   0.00563946   0.00166979   0.00588147        16.49
    72   0.00586961   0.00096411   0.00594826         9.33
    73   0.00600327   0.00024513   0.00600827         2.34
    74   0.00603849  -0.00047520   0.00605716        -4.50
    75   0.00597497  -0.00118494   0.00609133       -11.22
    76   0.00581403  -0.00187236   0.00610808       -17.85
    77   0.00555863  -0.00252615   0.00610571       -24.44
    78   0.00521330  -0.00313556   0.00608360       -31.03
    79   0.00478406  -0.00369064   0.00604219       -37.65
    80   0.00427831  -0.00418236   0.00598299       -44.35
    81   0.00370472  -0.00460278   0.00590852       -51.17
    82   0.00307306  -0.00494518   0.00582224       -58.14
    83   0.00239405  -0.00520416   0.00572842       -65.30
    84   0.00167916  -0.00537575   0.00563189       -72.65
    85   0.00094045  -0.00545742   0.00553786       -80.22
    86   0.00019033  -0.00544821   0.00545154       -88.00
    87  -0.00055864  -0.00534865   0.00537774       -95.96
    88  -0.00129393  -0.00516079   0.00532052      -104.08
    89  -0.00200330  -0.00488816   0.00528273      -112.29
    90  -0.00267498  -0.00453570   0.00526575      -120.53
    91  -0.00329785  -0.00410970   0.00526929      -128.75
    92  -0.00386165  -0.00361762   0.00529146      -136.87
    93  -0.00435715  -0.00306806   0.00532895      -144.85
    94  -0.00477628  -0.00247051   0.00537738      -152.65
    95  -0.00511229  -0.00183528   0.00543174      -160.25
    96  -0.00535985  -0.00117326   0.00548676      -167.65
    97  -0.00551512  -0.00049575   0.00553736      -174.86
    98  -0.00557584   0.00018571   0.00557893      -181.91
    99  -0.00554134   0.00085956   0.00560761      -188.82
   100  -0.00541257   0.00151439   0.00562044      -195.63
   101  -0.00519205   0.00213918   0.00561547      -202.39
   102  -0.00488385   0.00272342   0.00559187      -209.15
   103  -0.00449351   0.00325734   0.00554995      -215.94
   104  -0.00402795   0.00373204   0.00549113      -222.82
   105  -0.00349532   0.00413966   0.00541794      -229.82
   106  -0.00290491   0.00447350   0.00533392      -237.00
   107  -0.00226695   0.00472811   0.00524348      -244.38
   108  -0.00159245   0.00489944   0.00515174      -251.99
   109  -0.00089300   0.00498483   0.00506419      -259.84
   110  -0.00018061   0.00498310   0.00498637      -267.92
   111   0.00053253   0.00489455   0.00492344      -276.21
   112   0.00123426   0.00472096   0.00487963      -284.65
   113   0.00191261   0.00446554   0.00485789      -293.19
   114   0.00255605   0.00413289   0.00485944      -301.74
   115   0.00315367   0.00372891   0.00488368      -310.22
   116   0.00369534   0.00326070   0.00492825      -318.58
   117   0.00417191   0.00273643   0.00498927      -326.74
   118   0.00457534   0.00216522   0.00506181      -334.67
   119   0.00489885   0.00155695   0.00514032      -342.37
   120   0.00513703   0.00092212   0.00521914      -349.82
   121   0.00528592   0.00027167   0.00529290      -357.06
   122   0.00534308  -0.00038324   0.00535681      -364.10
   123   0.00530761  -0.00103138   0.00540690      -371.00
   124   0.00518022  -0.00166166   0.00544020      -377.78
   125   0.00496313  -0.00226329   0.00545483      -384.51
   126   0.00466011  -0.00282602   0.00545005      -391.23
   127   0.00427637  -0.00334027   0.00542630      -397.99
   128   0.00381847  -0.00379728   0.00538517      -404.84
   129   0.00329424  -0.00418930   0.00532938      -411.82
   130   0.00271262  -0.00450969   0.00526266      -418.97
   131   0.00208350  -0.00475305   0.00518965      -426.33
   132   0.00141761  -0.00491531   0.00511565      -433.91
   133   0.00072628  -0.00499382   0.00504635      -441.73
   134   0.00002135  -0.00498741   0.00498746      -449.75
   135  -0.00068505  -0.00489653   0.00494422      -457.96
   136  -0.00138051  -0.00472328   0.00492090      -106.29
   137  -0.00205214  -0.00447201   0.00492039      -114.65
   138  -0.00268675  -0.00414915   0.00494308      -122.92
   139  -0.00326457  -0.00377040   0.00498732      -130.89
   140  -0.00377746  -0.00333980   0.00504217      -138.52
   141  -0.00409454  -0.00300423   0.00507845      -143.73
   142  -0.00578253  -0.00270557   0.00638418      -154.93
   143  -0.00606102  -0.00212992   0.00642436      -160.64
   144  -0.00625337  -0.00151513   0.00643430      -166.38
   145  -0.00636084  -0.00088103   0.00642157      -172.11
   146  -0.00637204  -0.00024464   0.00637674      -177.80
   147  -0.00632164   0.00022413   0.00632561      -182.03
   148  -0.00047117  -0.00185305   0.00191202      -104.27
   149  -0.00036082  -0.00137861   0.00142505      -104.67
   150  -0.00331902   0.00542367   0.00635862       121.46
   151  -0.00257602   0.00572433   0.00627725       114.23
   152  -0.00177611   0.00593445   0.00619454       106.66
   153  -0.00092854   0.00605469   0.00612548        98.72
   154  -0.00005939   0.00607658   0.00607687        90.56
   155   0.00081249   0.00599854   0.00605331        82.29
   156   0.00166922   0.00582144   0.00605603        74.00
   157   0.00249453   0.00554866   0.00608362        65.79
   158   0.00327348   0.00518564   0.00613241        57.74
   159   0.00399256   0.00473952   0.00619706        49.89
   160   0.00463983   0.00421893   0.00627115        42.28
   161   0.00520502   0.00363367   0.00634790        34.92
   162   0.00567959   0.00299448   0.00642065        27.80
   163   0.00605684   0.00231276   0.00648338        20.90
   164   0.00633189   0.00160032   0.00653099        14.18
   165   0.00650169   0.00086917   0.00655953         7.61
   166   0.00656497   0.00013128   0.00656628         1.15
   167   0.00652216  -0.00060157   0.00654985        -5.27
   168   0.00637532  -0.00131802   0.00651014       -11.68
   169   0.00612798  -0.00200720   0.00644833       -18.14
   170   0.00578508  -0.00265890   0.00636686       -24.68
   171   0.00535281  -0.00326365   0.00626929       -31.37
   172   0.00483849  -0.00381279   0.00616022       -38.24
   173   0.00425047  -0.00429854   0.00604516       -45.32
   174   0.00359799  -0.00471409   0.00593028       -52.65
   175   0.00289110  -0.00505359   0.00582213       -60.23
   176   0.00214052  -0.00531224   0.00572728       -68.05
   177   0.00135754  -0.00548634   0.00565180       -76.10
   178   0.00055395  -0.00557329   0.00560075       -84.32
   179  -0.00025813  -0.00557170   0.00557768       -92.65
   180  -0.00106635  -0.00548140   0.00558416      -101.01
