 [antenna_pattern.dat]

  É” = 315.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
   -90.000  -30.0000  -30.0000  -30.0000  -30.0000
   -89.000  -30.0000  -30.0000  -30.0000  -30.0000
   -88.000  -30.0000  -30.0000  -30.0000  -30.0000
   -87.000  -30.0000  -30.0000  -30.0000  -30.0000
   -86.000  -30.0000  -30.0000  -30.0000  -30.0000
   -85.000  -30.0000  -30.0000  -30.0000  -30.0000
   -84.000  -30.0000  -30.0000  -30.0000  -30.0000
   -83.000  -30.0000  -30.0000  -30.0000  -30.0000
   -82.000  -30.0000  -30.0000  -30.0000  -30.0000
   -81.000  -30.0000  -30.0000  -30.0000  -30.0000
   -80.000  -30.0000  -30.0000  -30.0000  -30.0000
   -79.000  -30.0000  -30.0000  -30.0000  -30.0000
   -78.000  -30.0000  -30.0000  -30.0000  -30.0000
   -77.000  -30.0000  -30.0000  -30.0000  -30.0000
   -76.000  -30.0000  -30.0000  -30.0000  -30.0000
   -75.000  -29.8841  -30.0000  -30.0000  -30.0000
   -74.000  -29.3129  -29.8609  -29.8919  -30.0000
   -73.000  -28.7788  -29.1473  -29.2745  -30.0000
   -72.000  -28.2785  -28.4630  -28.6879  -30.0000
   -71.000  -27.8095  -27.8078  -28.1306  -30.0000
   -70.000  -27.3697  -27.1814  -27.6015  -30.0000
   -69.000  -26.9575  -26.5831  -27.0996  -30.0000
   -68.000  -26.5718  -26.0125  -26.6240  -30.0000
   -67.000  -26.2116  -25.4688  -26.1741  -30.0000
   -66.000  -25.8763  -24.9514  -25.7493  -30.0000
   -65.000  -25.5655  -24.4596  -25.3491  -30.0000
   -64.000  -25.2789  -23.9927  -24.9731  -30.0000
   -63.000  -25.0167  -23.5501  -24.6212  -30.0000
   -62.000  -24.7790  -23.1312  -24.2930  -30.0000
   -61.000  -24.5661  -22.7354  -23.9885  -30.0000
   -60.000  -24.3788  -22.3621  -23.7078  -30.0000
   -59.000  -24.2178  -22.0107  -23.4507  -30.0000
   -58.000  -24.0841  -21.6809  -23.2175  -30.0000
   -57.000  -23.9788  -21.3719  -23.0082  -30.0000
   -56.000  -23.9036  -21.0833  -22.8230  -29.7533
   -55.000  -23.8601  -20.8146  -22.6623  -29.4061
   -54.000  -23.8505  -20.5652  -22.5261  -29.0719
   -53.000  -23.8773  -20.3344  -22.4148  -28.7506
   -52.000  -23.9436  -20.1215  -22.3286  -28.4419
   -51.000  -24.0530  -19.9259  -22.2674  -28.1455
   -50.000  -24.2097  -19.7465  -22.2312  -27.8613
   -49.000  -24.4193  -19.5823  -22.2198  -27.5891
   -48.000  -24.6880  -19.4321  -22.2324  -27.3286
   -47.000  -25.0238  -19.2943  -22.2677  -27.0797
   -46.000  -25.4368  -19.1671  -22.3238  -26.8422
   -45.000  -25.9393  -19.0484  -22.3974  -26.6160
   -44.000  -26.5471  -18.9358  -22.4840  -26.4007
   -43.000  -27.2800  -18.8262  -22.5770  -26.1964
   -42.000  -28.1624  -18.7164  -22.6674  -26.0027
   -41.000  -29.2216  -18.6024  -22.7434  -25.8197
   -40.000  -30.0000  -18.4800  -22.7900  -25.6471
   -39.000  -30.0000  -18.3448  -22.7897  -25.4849
   -38.000  -30.0000  -18.1919  -22.7239  -25.3328
   -37.000  -30.0000  -18.0168  -22.5747  -25.1909
   -36.000  -30.0000  -17.8151  -22.3284  -25.0590
   -35.000  -30.0000  -17.5830  -21.9781  -24.9371
   -34.000  -30.0000  -17.3178  -21.5254  -24.8249
   -33.000  -28.0280  -17.0179  -20.9801  -24.7226
   -32.000  -26.1235  -16.6828  -20.3577  -24.6300
   -31.000  -24.4163  -16.3136  -19.6765  -24.5470
   -30.000  -22.8835  -15.9125  -18.9550  -24.4737
   -29.000  -21.4976  -15.4828  -18.2093  -24.4099
   -28.000  -20.2345  -15.0283  -17.4532  -24.3557
   -27.000  -19.0747  -14.5534  -16.6972  -24.3110
   -26.000  -18.0027  -14.0627  -15.9489  -24.2758
   -25.000  -17.0061  -13.5606  -15.2140  -24.2502
   -24.000  -16.0751  -13.0512  -14.4964  -24.2340
   -23.000  -15.2017  -12.5382  -13.7983  -24.2274
   -22.000  -14.3794  -12.0249  -13.1214  -24.2303
   -21.000  -13.6030  -11.5142  -12.4664  -24.2428
   -20.000  -12.8679  -11.0085  -11.8335  -24.2650
   -19.000  -12.1704  -10.5097  -11.2229  -24.2968
   -18.000  -11.5074  -10.0195  -10.6342  -24.3383
   -17.000  -10.8762   -9.5392  -10.0669  -24.3896
   -16.000  -10.2744   -9.0698   -9.5207  -24.4508
   -15.000   -9.7001   -8.6120   -8.9948  -24.5220
