 [antenna_field.dat]

  É” = 90.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
 -90.000  -0.18737   0.23222   0.29839   128.899   -2.7418   **   0.07647   0.04838   0.09049    32.321  -13.1051   **   -2.3597    96.5785 
 -89.000  -0.19396   0.23940   0.30811   129.015   -2.4634   **   0.08166   0.03616   0.08931    23.887  -13.2195   **   -2.1130   105.1279 
 -88.000  -0.20065   0.24634   0.31772   129.164   -2.1967   **   0.08641   0.02356   0.08956    15.250  -13.1948   **   -1.8647   113.9143 
 -87.000  -0.20745   0.25305   0.32721   129.344   -1.9409   **   0.09072   0.01057   0.09134     6.647  -13.0246   **   -1.6151   122.6973 
 -86.000  -0.21435   0.25954   0.33661   129.553   -1.6950   **   0.09460  -0.00278   0.09464    -1.685  -12.7163   **   -1.3646   131.2378 
 -85.000  -0.22137   0.26580   0.34591   129.788   -1.4583   **   0.09803  -0.01650   0.09941    -9.552  -12.2892   **   -1.1137   139.3405 
 -84.000  -0.22850   0.27184   0.35512   130.049   -1.2300   **   0.10102  -0.03056   0.10554   -16.830  -11.7692   **   -0.8625   146.8787 
 -83.000  -0.23575   0.27766   0.36425   130.333   -1.0096   **   0.10357  -0.04495   0.11291   -23.463  -11.1833   **   -0.6112   153.7956 
 -82.000  -0.24312   0.28327   0.37330   130.638   -0.7965   **   0.10568  -0.05967   0.12136   -29.452  -10.5557   **   -0.3601   160.0903 
 -81.000  -0.25062   0.28866   0.38227   130.965   -0.5900   **   0.10735  -0.07470   0.13079   -34.833   -9.9062   **   -0.1093   165.7980 
 -80.000  -0.25824   0.29384   0.39119   131.311   -0.3899   **   0.10859  -0.09003   0.14106   -39.662   -9.2497   **    0.1410   170.9726 
 -79.000  -0.26599   0.29880   0.40004   131.675   -0.1955   **   0.10939  -0.10564   0.15207   -44.000   -8.5966   **    0.3907   175.6747 
 -78.000  -0.27386   0.30355   0.40883   132.057   -0.0066   **   0.10977  -0.12151   0.16375   -47.907   -7.9541   **    0.6395   179.9636 
 -77.000  -0.28187   0.30809   0.41758   132.455    0.1772   **   0.10971  -0.13763   0.17601   -51.439   -7.3268   **    0.8874   183.8942 
 -76.000  -0.29000   0.31243   0.42627   132.868    0.3563   **   0.10924  -0.15398   0.18880   -54.646   -6.7175   **    1.1342   187.5146 
 -75.000  -0.29826   0.31655   0.43493   133.296    0.5308   **   0.10836  -0.17055   0.20206   -57.571   -6.1279   **    1.3796   190.8669 
 -74.000  -0.30665   0.32046   0.44354   133.738    0.7011   **   0.10706  -0.18731   0.21575   -60.249   -5.5586   **    1.6234   193.9868 
 -73.000  -0.31516   0.32416   0.45211   134.193    0.8674   **   0.10537  -0.20424   0.22982   -62.711   -5.0097   **    1.8655   196.9044 
 -72.000  -0.32379   0.32765   0.46064   134.660    1.0298   **   0.10328  -0.22133   0.24424   -64.985   -4.4812   **    2.1057   199.6455 
 -71.000  -0.33254   0.33093   0.46914   135.139    1.1885   **   0.10080  -0.23855   0.25897   -67.092   -3.9724   **    2.3437   202.2316 
 -70.000  -0.34140   0.33399   0.47760   135.629    1.3437   **   0.09795  -0.25587   0.27398   -69.052   -3.4831   **    2.5793   204.6811 
 -69.000  -0.35037   0.33683   0.48602   136.129    1.4955   **   0.09474  -0.27328   0.28924   -70.880   -3.0124   **    2.8122   207.0095 
 -68.000  -0.35945   0.33945   0.49440   136.639    1.6440   **   0.09117  -0.29075   0.30471   -72.591   -2.5597   **    3.0423   209.2300 
 -67.000  -0.36862   0.34185   0.50273   137.158    1.7892   **   0.08725  -0.30826   0.32037   -74.196   -2.1245   **    3.2693   211.3541 
 -66.000  -0.37788   0.34402   0.51102   137.686    1.9312   **   0.08300  -0.32577   0.33618   -75.706   -1.7062   **    3.4930   213.3914 
 -65.000  -0.38722   0.34596   0.51926   138.221    2.0701   **   0.07843  -0.34326   0.35211   -77.129   -1.3041   **    3.7131   215.3503 
 -64.000  -0.39664   0.34766   0.52744   138.765    2.2059   **   0.07356  -0.36070   0.36813   -78.473   -0.9176   **    3.9294   217.2382 
 -63.000  -0.40612   0.34912   0.53556   139.316    2.3385   **   0.06839  -0.37806   0.38420   -79.746   -0.5464   **    4.1417   219.0615 
 -62.000  -0.41565   0.35034   0.54360   139.873    2.4681   **   0.06295  -0.39532   0.40030   -80.952   -0.1898   **    4.3497   220.8256 
 -61.000  -0.42522   0.35131   0.55157   140.437    2.5944   **   0.05724  -0.41244   0.41639   -82.098    0.1525   **    4.5532   222.5357 
 -60.000  -0.43482   0.35201   0.55945   141.008    2.7176   **   0.05129  -0.42938   0.43243   -83.188    0.4809   **    4.7520   224.1960 
 -59.000  -0.44443   0.35246   0.56723   141.584    2.8376   **   0.04511  -0.44612   0.44840   -84.227    0.7958   **    4.9459   225.8105 
 -58.000  -0.45405   0.35263   0.57490   142.166    2.9542   **   0.03871  -0.46263   0.46425   -85.217    1.0975   **    5.1346   227.3827 
 -57.000  -0.46365   0.35252   0.58245   142.754    3.0676   **   0.03212  -0.47887   0.47994   -86.162    1.3863   **    5.3181   228.9158 
 -56.000  -0.47322   0.35213   0.58986   143.346    3.1775   **   0.02536  -0.49480   0.49545   -87.066    1.6624   **    5.4960   230.4126 
 -55.000  -0.48275   0.35145   0.59713   143.945    3.2839   **   0.01844  -0.51039   0.51072   -87.931    1.9262   **    5.6682   231.8759 
 -54.000  -0.49222   0.35047   0.60424   144.548    3.3867   **   0.01138  -0.52561   0.52573   -88.760    2.1778   **    5.8344   233.3081 
 -53.000  -0.50160   0.34918   0.61117   145.157    3.4858   **   0.00420  -0.54042   0.54043   -89.554    2.4173   **    5.9946   234.7115 
 -52.000  -0.51089   0.34758   0.61792   145.771    3.5811   **  -0.00307  -0.55478   0.55479   -90.317    2.6450   **    6.1485   236.0881 
 -51.000  -0.52006   0.34565   0.62446   146.390    3.6725   **  -0.01042  -0.56866   0.56876   -91.050    2.8610   **    6.2960   237.4400 
 -50.000  -0.52910   0.34340   0.63077   147.015    3.7599   **  -0.01782  -0.58202   0.58230   -91.754    3.0654   **    6.4368   238.7691 
 -49.000  -0.53798   0.34081   0.63685   147.646    3.8432   **  -0.02526  -0.59483   0.59537   -92.431    3.2582   **    6.5708   240.0773 
 -48.000  -0.54669   0.33787   0.64267   148.282    3.9222   **  -0.03270  -0.60706   0.60794   -93.084    3.4396   **    6.6979   241.3661 
 -47.000  -0.55520   0.33459   0.64822   148.925    3.9969   **  -0.04014  -0.61865   0.61995   -93.712    3.6096   **    6.8179   242.6374 
 -46.000  -0.56349   0.33094   0.65349   149.574    4.0672   **  -0.04755  -0.62959   0.63138   -94.319    3.7683   **    6.9306   243.8927 
 -45.000  -0.57154   0.32693   0.65844   150.230    4.1328   **  -0.05490  -0.63983   0.64218   -94.904    3.9156   **    7.0359   245.1337 
 -44.000  -0.57934   0.32255   0.66308   150.893    4.1938   **  -0.06217  -0.64934   0.65231   -95.469    4.0516   **    7.1336   246.3619 
 -43.000  -0.58685   0.31780   0.66738   151.563    4.2499   **  -0.06935  -0.65810   0.66174   -96.016    4.1762   **    7.2235   247.5788 
 -42.000  -0.59407   0.31266   0.67132   152.242    4.3011   **  -0.07641  -0.66605   0.67042   -96.544    4.2894   **    7.3056   248.7861 
 -41.000  -0.60096   0.30714   0.67490   152.929    4.3472   **  -0.08332  -0.67319   0.67832   -97.056    4.3912   **    7.3796   249.9851 
 -40.000  -0.60751   0.30123   0.67809   153.626    4.3882   **  -0.09007  -0.67947   0.68541   -97.551    4.4815   **    7.4454   251.1776 
 -39.000  -0.61369   0.29492   0.68088   154.333    4.4239   **  -0.09664  -0.68486   0.69165   -98.032    4.5601   **    7.5028   252.3649 
 -38.000  -0.61949   0.28822   0.68326   155.050    4.4542   **  -0.10301  -0.68934   0.69700   -98.499    4.6271   **    7.5518   253.5487 
 -37.000  -0.62489   0.28113   0.68522   155.778    4.4790   **  -0.10916  -0.69289   0.70143   -98.953    4.6822   **    7.5921   254.7306 
 -36.000  -0.62987   0.27364   0.68674   156.518    4.4983   **  -0.11506  -0.69547   0.70493   -99.394    4.7253   **    7.6236   255.9122 
 -35.000  -0.63440   0.26575   0.68782   157.271    4.5119   **  -0.12070  -0.69707   0.70744   -99.824    4.7563   **    7.6461   257.0950 
 -34.000  -0.63848   0.25747   0.68844   158.038    4.5198   **  -0.12607  -0.69767   0.70897  -100.243    4.7750   **    7.6596   258.2808 
 -33.000  -0.64208   0.24880   0.68860   158.819    4.5218   **  -0.13114  -0.69724   0.70947  -100.652    4.7811   **    7.6637   259.4713 
 -32.000  -0.64519   0.23974   0.68829   159.616    4.5179   **  -0.13591  -0.69578   0.70893  -101.053    4.7745   **    7.6584   260.6683 
 -31.000  -0.64780   0.23030   0.68752   160.429    4.5081   **  -0.14035  -0.69326   0.70732  -101.445    4.7548   **    7.6435   261.8736 
 -30.000  -0.64988   0.22048   0.68626   161.260    4.4923   **  -0.14445  -0.68968   0.70464  -101.829    4.7218   **    7.6189   263.0891 
 -29.000  -0.65143   0.21030   0.68454   162.109    4.4704   **  -0.14821  -0.68502   0.70087  -102.208    4.6752   **    7.5843   264.3167 
 -28.000  -0.65244   0.19975   0.68234   162.978    4.4424   **  -0.15160  -0.67929   0.69600  -102.581    4.6147   **    7.5397   265.5585 
 -27.000  -0.65290   0.18886   0.67967   163.867    4.4084   **  -0.15463  -0.67248   0.69003  -102.950    4.5398   **    7.4849   266.8167 
 -26.000  -0.65280   0.17762   0.67653   164.779    4.3682   **  -0.15728  -0.66458   0.68294  -103.315    4.4501   **    7.4196   268.0933 
 -25.000  -0.65212   0.16606   0.67293   165.713    4.3219   **  -0.15955  -0.65560   0.67473  -103.678    4.3451   **    7.3438   269.3909 
 -24.000  -0.65087   0.15419   0.66889   166.672    4.2695   **  -0.16143  -0.64554   0.66542  -104.040    4.2244   **    7.2573   270.7119 
 -23.000  -0.64904   0.14202   0.66440   167.657    4.2111   **  -0.16291  -0.63442   0.65500  -104.402    4.0873   **    7.1599   272.0587 
 -22.000  -0.64664   0.12958   0.65949   168.669    4.1466   **  -0.16400  -0.62224   0.64349  -104.766    3.9333   **    7.0516   273.4343 
 -21.000  -0.64365   0.11687   0.65417   169.709    4.0763   **  -0.16470  -0.60901   0.63089  -105.133    3.7615   **    6.9321   274.8416 
 -20.000  -0.64008   0.10392   0.64846   170.778    4.0001   **  -0.16500  -0.59476   0.61722  -105.505    3.5713   **    6.8013   276.2837 
 -19.000  -0.63593   0.09075   0.64237   171.879    3.9182   **  -0.16491  -0.57950   0.60251  -105.885    3.3617   **    6.6591   277.7639 
 -18.000  -0.63121   0.07737   0.63593   173.011    3.8307   **  -0.16444  -0.56325   0.58676  -106.275    3.1317   **    6.5056   279.2860 
