 [antenna_pattern.dat]

  É” = 90.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
   -90.000   -7.5229  -17.8862  -16.4840  -11.0902
   -89.000   -7.2445  -18.0006  -15.9058  -10.9442
   -88.000   -6.9779  -17.9759  -15.3224  -10.8084
   -87.000   -6.7220  -17.8057  -14.7400  -10.6829
   -86.000   -6.4761  -17.4974  -14.1635  -10.5676
   -85.000   -6.2394  -17.0703  -13.5963  -10.4624
   -84.000   -6.0111  -16.5503  -13.0406  -10.3672
   -83.000   -5.7907  -15.9644  -12.4981  -10.2819
   -82.000   -5.5776  -15.3368  -11.9695  -10.2063
   -81.000   -5.3711  -14.6874  -11.4555  -10.1402
   -80.000   -5.1710  -14.0308  -10.9562  -10.0835
   -79.000   -4.9766  -13.3777  -10.4715  -10.0359
   -78.000   -4.7877  -12.7352  -10.0013   -9.9975
   -77.000   -4.6039  -12.1079   -9.5453   -9.9679
   -76.000   -4.4248  -11.4987   -9.1033   -9.9472
   -75.000   -4.2503  -10.9090   -8.6748   -9.9350
   -74.000   -4.0800  -10.3397   -8.2595   -9.9314
   -73.000   -3.9138   -9.7908   -7.8570   -9.9363
   -72.000   -3.7513   -9.2623   -7.4670   -9.9496
   -71.000   -3.5926   -8.7536   -7.0890   -9.9711
   -70.000   -3.4374   -8.2642   -6.7228  -10.0010
   -69.000   -3.2856   -7.7935   -6.3680  -10.0391
   -68.000   -3.1371   -7.3408   -6.0244  -10.0855
   -67.000   -2.9919   -6.9057   -5.6916  -10.1402
   -66.000   -2.8499   -6.4873   -5.3694  -10.2033
   -65.000   -2.7110   -6.0852   -5.0577  -10.2747
   -64.000   -2.5752   -5.6987   -4.7560  -10.3547
   -63.000   -2.4426   -5.3275   -4.4644  -10.4434
   -62.000   -2.3130   -4.9709   -4.1826  -10.5409
   -61.000   -2.1867   -4.6286   -3.9104  -10.6474
   -60.000   -2.0635   -4.3002   -3.6478  -10.7631
   -59.000   -1.9435   -3.9853   -3.3945  -10.8883
   -58.000   -1.8269   -3.6836   -3.1505  -11.0233
   -57.000   -1.7135   -3.3948   -2.9158  -11.1685
   -56.000   -1.6036   -3.1187   -2.6901  -11.3242
   -55.000   -1.4972   -2.8549   -2.4735  -11.4909
   -54.000   -1.3944   -2.6034   -2.2659  -11.6691
   -53.000   -1.2953   -2.3638   -2.0673  -11.8594
   -52.000   -1.2000   -2.1361   -1.8775  -12.0625
   -51.000   -1.1086   -1.9201   -1.6968  -12.2791
   -50.000   -1.0212   -1.7158   -1.5249  -12.5101
   -49.000   -0.9379   -1.5229   -1.3619  -12.7563
   -48.000   -0.8589   -1.3415   -1.2079  -13.0189
   -47.000   -0.7842   -1.1715   -1.0628  -13.2992
   -46.000   -0.7139   -1.0128   -0.9266  -13.5986
   -45.000   -0.6483   -0.8655   -0.7995  -13.9186
   -44.000   -0.5873   -0.7295   -0.6815  -14.2612
   -43.000   -0.5312   -0.6049   -0.5725  -14.6286
   -42.000   -0.4800   -0.4917   -0.4728  -15.0233
   -41.000   -0.4339   -0.3899   -0.3823  -15.4484
   -40.000   -0.3929   -0.2996   -0.3011  -15.9074
   -39.000   -0.3572   -0.2210   -0.2293  -16.4048
   -38.000   -0.3269   -0.1540   -0.1671  -16.9457
   -37.000   -0.3021   -0.0989   -0.1144  -17.5365
   -36.000   -0.2828   -0.0558   -0.0716  -18.1855
   -35.000   -0.2692   -0.0248   -0.0385  -18.9029
   -34.000   -0.2613   -0.0061   -0.0155  -19.7022
   -33.000   -0.2593    0.0000   -0.0026  -20.6012
   -32.000   -0.2632   -0.0066    0.0000  -21.6248
   -31.000   -0.2730   -0.0263   -0.0078  -22.8082
   -30.000   -0.2888   -0.0593   -0.0263  -24.2050
   -29.000   -0.3107   -0.1059   -0.0556  -25.9011
   -28.000   -0.3387   -0.1664   -0.0959  -28.0490
   -27.000   -0.3727   -0.2413   -0.1474  -30.0000
   -26.000   -0.4129   -0.3310   -0.2103  -30.0000
   -25.000   -0.4592   -0.4360   -0.2849  -30.0000
   -24.000   -0.5116   -0.5567   -0.3715  -30.0000
   -23.000   -0.5700   -0.6938   -0.4703  -30.0000
   -22.000   -0.6345   -0.8478   -0.5816  -30.0000
   -21.000   -0.7048   -1.0196   -0.7058  -27.4516
   -20.000   -0.7810   -1.2098   -0.8430  -25.2536
   -19.000   -0.8629   -1.4194   -0.9939  -23.4888
   -18.000   -0.9504   -1.6494   -1.1586  -22.0137
   -17.000   -1.0433   -1.9008   -1.3376  -20.7466
   -16.000   -1.1415   -2.1750   -1.5315  -19.6363
   -15.000   -1.2447   -2.4733   -1.7405  -18.6487
   -14.000   -1.3527   -2.7974   -1.9653  -17.7600
   -13.000   -1.4652   -3.1492   -2.2065  -16.9529
   -12.000   -1.5819   -3.5308   -2.4645  -16.2145
   -11.000   -1.7026   -3.9446   -2.7401  -15.5346
   -10.000   -1.8268   -4.3937   -3.0340  -14.9056
    -9.000   -1.9542   -4.8814   -3.3468  -14.3211
    -8.000   -2.0844   -5.4117   -3.6794  -13.7761
    -7.000   -2.2170   -5.9895   -4.0326  -13.2664
    -6.000   -2.3516   -6.6205   -4.4073  -12.7885
    -5.000   -2.4876   -7.3117   -4.8044  -12.3395
    -4.000   -2.6246   -8.0717   -5.2250  -11.9170
    -3.000   -2.7622   -8.9107   -5.6699  -11.5188
    -2.000   -2.8998   -9.8416   -6.1401  -11.1431
    -1.000   -3.0371  -10.8798   -6.6366  -10.7883
     0.000   -3.1737  -12.0428   -7.1601  -10.4531
     1.000   -3.3090  -13.3486   -7.7109  -10.1363
     2.000   -3.4427  -14.8070   -8.2890   -9.8368
     3.000   -3.5745  -16.3944   -8.8938   -9.5537
     4.000   -3.7042  -17.9857   -9.5231   -9.2861
     5.000   -3.8316  -19.2320  -10.1732   -9.0333
     6.000   -3.9565  -19.5876  -10.8379   -8.7946
     7.000   -4.0789  -18.8544  -11.5070   -8.5694
     8.000   -4.1988  -17.4696  -12.1658   -8.3572
     9.000   -4.3163  -15.9268  -12.7935   -8.1576
    10.000   -4.4316  -14.4619  -13.3634   -7.9699
    11.000   -4.5451  -13.1435  -13.8443   -7.7940
    12.000   -4.6570  -11.9753  -14.2053   -7.6294
    13.000   -4.7678  -10.9424  -14.4221   -7.4757
    14.000   -4.8781  -10.0263  -14.4845   -7.3327
    15.000   -4.9883   -9.2104  -14.3997   -7.2000
    16.000   -5.0991   -8.4804  -14.1898   -7.0775
    17.000   -5.2112   -7.8247  -13.8851   -6.9650
    18.000   -5.3253   -7.2337  -13.5174   -6.8621
    19.000   -5.4420   -6.6996  -13.1144   -6.7687
    20.000   -5.5622   -6.2161  -12.6981   -6.6846
    21.000   -5.6867   -5.7776  -12.2843   -6.6097
    22.000   -5.8161   -5.3799  -11.8840   -6.5437
    23.000   -5.9514   -5.0192  -11.5041   -6.4867
    24.000   -6.0933   -4.6922  -11.1490   -6.4384
    25.000   -6.2427   -4.3964  -10.8208   -6.3987
    26.000   -6.4003   -4.1292  -10.5208   -6.3675
    27.000   -6.5670   -3.8888  -10.2490   -6.3448
    28.000   -6.7436   -3.6734  -10.0052   -6.3304
