 [antenna_conf.dat]

      NSEG      NWIR      NFED     NLOAD           FREQ0          RAMDA0            USEF
       338        15         1         0      1000000000      0.29979246      1000000000

Segment
   NO.           SX           SY           SZ             RX             RY             RZ           SEGL             RA     RAD_MODE
     0   -0.7518398    0.6593458    0.0000000       0.110964       0.110964       0.062500       0.020527       0.005000            1
     1   -0.8314696    0.5555702    0.0000000       0.095531       0.124498       0.062500       0.020527       0.005000            1
     2   -0.8968727    0.4422887    0.0000000       0.078463       0.135903       0.062500       0.020527       0.005000            1
     3   -0.9469301    0.3214395    0.0000000       0.060053       0.144981       0.062500       0.020527       0.005000            1
     4   -0.9807853    0.1950903    0.0000000       0.040616       0.151580       0.062500       0.020527       0.005000            1
     5   -0.9978589    0.0654031    0.0000000       0.020483       0.155584       0.062500       0.020527       0.005000            1
     6   -0.9978589   -0.0654031    0.0000000       0.000000       0.156927       0.062500       0.020527       0.005000            1
     7   -0.9807853   -0.1950903    0.0000000      -0.020483       0.155584       0.062500       0.020527       0.005000            1
     8   -0.9469301   -0.3214395    0.0000000      -0.040616       0.151580       0.062500       0.020527       0.005000            1
     9   -0.8968727   -0.4422887    0.0000000      -0.060053       0.144981       0.062500       0.020527       0.005000            1
    10   -0.8314696   -0.5555702    0.0000000      -0.078463       0.135903       0.062500       0.020527       0.005000            1
    11   -0.7518398   -0.6593458    0.0000000      -0.095531       0.124498       0.062500       0.020527       0.005000            1
    12   -0.6593458   -0.7518398    0.0000000      -0.110964       0.110964       0.062500       0.020527       0.005000            1
    13   -0.5555702   -0.8314696    0.0000000      -0.124498       0.095531       0.062500       0.020527       0.005000            1
    14   -0.4422887   -0.8968727    0.0000000      -0.135903       0.078463       0.062500       0.020527       0.005000            1
    15   -0.3214395   -0.9469301    0.0000000      -0.144981       0.060053       0.062500       0.020527       0.005000            1
    16   -0.1950903   -0.9807853    0.0000000      -0.151580       0.040616       0.062500       0.020527       0.005000            1
    17   -0.0654031   -0.9978589    0.0000000      -0.155584       0.020483       0.062500       0.020527       0.005000            1
    18    0.0654031   -0.9978589    0.0000000      -0.156927       0.000000       0.062500       0.020527       0.005000            1
    19    0.1950903   -0.9807853    0.0000000      -0.155584      -0.020483       0.062500       0.020527       0.005000            1
    20    0.3214395   -0.9469301    0.0000000      -0.151580      -0.040616       0.062500       0.020527       0.005000            1
    21    0.4422887   -0.8968727    0.0000000      -0.144981      -0.060053       0.062500       0.020527       0.005000            1
    22    0.5555702   -0.8314696    0.0000000      -0.135903      -0.078463       0.062500       0.020527       0.005000            1
    23    0.6593458   -0.7518398    0.0000000      -0.124498      -0.095531       0.062500       0.020527       0.005000            1
    24    0.7518398   -0.6593458    0.0000000      -0.110964      -0.110964       0.062500       0.020527       0.005000            1
    25    0.8314696   -0.5555702    0.0000000      -0.095531      -0.124498       0.062500       0.020527       0.005000            1
    26    0.8968727   -0.4422887    0.0000000      -0.078463      -0.135903       0.062500       0.020527       0.005000            1
    27    0.9469301   -0.3214395    0.0000000      -0.060053      -0.144981       0.062500       0.020527       0.005000            1
