 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00237531  -0.00493440   0.00547635       -64.29
     2   0.00175644  -0.00521181   0.00549983       -71.38
     3   0.00109262  -0.00541917   0.00552822       -78.60
     4   0.00039007  -0.00555494   0.00556862       -85.98
     5  -0.00033014  -0.00560905   0.00561875       -93.37
     6  -0.00105318  -0.00557735   0.00567592      -100.69
     7  -0.00176481  -0.00545767   0.00573591      -107.92
     8  -0.00245174  -0.00524999   0.00579426      -115.03
     9  -0.00310142  -0.00495620   0.00584660      -122.04
    10  -0.00370201  -0.00457993   0.00588903      -128.95
    11  -0.00424257  -0.00412656   0.00591844      -135.79
    12  -0.00471318  -0.00360306   0.00593263      -142.60
    13  -0.00510512  -0.00301791   0.00593044      -149.41
    14  -0.00541110  -0.00238094   0.00591176      -156.25
    15  -0.00562534  -0.00170313   0.00587751      -163.16
    16  -0.00574377  -0.00099644   0.00582957      -170.16
    17  -0.00576411  -0.00027350   0.00577060      -177.28
    18  -0.00568594   0.00045264   0.00570393      -184.55
    19  -0.00551069   0.00116881   0.00563328      -191.97
    20  -0.00524167   0.00186203   0.00556257      -199.56
    21  -0.00488394   0.00251979   0.00549565      -207.29
    22  -0.00444424   0.00313035   0.00543602      -215.16
    23  -0.00393080   0.00368301   0.00538663      -223.14
    24  -0.00335315   0.00416834   0.00534964      -231.19
    25  -0.00272194   0.00457834   0.00532637      -239.27
    26  -0.00204863   0.00490664   0.00531715      -247.34
    27  -0.00134529   0.00514856   0.00532142      -255.36
    28  -0.00062432   0.00530117   0.00533781      -263.28
    29   0.00010182   0.00536330   0.00536426      -271.09
    30   0.00082081   0.00533548   0.00539825      -278.75
    31   0.00152076   0.00521990   0.00543692      -286.24
    32   0.00219039   0.00502026   0.00547730      -293.57
    33   0.00281918   0.00474167   0.00551645      -300.73
    34   0.00339758   0.00439053   0.00555161      -307.73
    35   0.00391713   0.00397444   0.00558033      -314.58
    36   0.00437052   0.00350215   0.00560058      -321.29
    37   0.00475178   0.00298365   0.00561084      -327.88
    38   0.00505631   0.00243075   0.00561024      -334.32
    39   0.00528098   0.00185699   0.00559796      -340.63
    40   0.00542490   0.00128433   0.00557486      -346.68
    41   0.00548688   0.00072149   0.00553411      -352.51
    42   0.00633756  -0.00074856   0.00638161      -366.74
    43   0.00624684  -0.00114428   0.00635078       -10.38
    44   0.00604828  -0.00167284   0.00627536       -15.46
    45   0.00576321  -0.00218852   0.00616475       -20.79
    46   0.00540352  -0.00267917   0.00603125       -26.37
    47   0.00496967  -0.00312959   0.00587298       -32.20
    48   0.00458957  -0.00344546   0.00573893       -36.90
    49   0.00177209   0.00123132   0.00215788        34.79
    50   0.00148417   0.00103281   0.00180817        34.83
    51   0.00096026   0.00067088   0.00117141        34.94
    52   0.00150240  -0.00503973   0.00525891       -73.40
    53   0.00096787  -0.00534903   0.00543589       -79.74
    54   0.00040634  -0.00557715   0.00559193       -85.83
    55  -0.00017625  -0.00572321   0.00572592       -91.76
    56  -0.00076129  -0.00577707   0.00582701       -97.51
    57  -0.00133650  -0.00573574   0.00588939      -103.12
    58  -0.00189041  -0.00559844   0.00590899      -108.66
    59  -0.00241269  -0.00536673   0.00588412      -114.21
    60  -0.00289390  -0.00504409   0.00581528      -119.84
    61  -0.00332549  -0.00463574   0.00570517      -125.65
    62  -0.00369991  -0.00414845   0.00555868      -131.73
    63  -0.00401063  -0.00359039   0.00538295      -138.16
    64  -0.00425228  -0.00297099   0.00518736      -145.06
    65  -0.00442067  -0.00230073   0.00498354      -152.51
