 [antenna_field.dat]

  É” = 90.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
 -90.000   0.00000   0.00000   0.00000    43.624  -60.0000   **  -0.06108  -0.01319   0.06248  -167.814  -11.7431   **  -11.7431   211.4386 
 -89.000   0.00049  -0.00024   0.00054   -25.783  -53.0002   **  -0.06100  -0.01314   0.06240  -167.846  -11.7548   **  -11.7544   142.0625 
 -88.000   0.00097  -0.00047   0.00108   -25.793  -46.9704   **  -0.06078  -0.01298   0.06215  -167.940  -11.7899   **  -11.7885   142.1469 
 -87.000   0.00146  -0.00071   0.00163   -25.810  -43.4333   **  -0.06040  -0.01273   0.06173  -168.099  -11.8485   **  -11.8455   142.2891 
 -86.000   0.00196  -0.00095   0.00217   -25.833  -40.9136   **  -0.05988  -0.01237   0.06115  -168.324  -11.9310   **  -11.9255   142.4913 
 -85.000   0.00245  -0.00119   0.00273   -25.862  -38.9491   **  -0.05921  -0.01192   0.06040  -168.618  -12.0377   **  -12.0289   142.7567 
 -84.000   0.00295  -0.00143   0.00328   -25.896  -37.3342   **  -0.05840  -0.01137   0.05949  -168.986  -12.1690   **  -12.1558   143.0899 
 -83.000   0.00346  -0.00168   0.00385   -25.935  -35.9595   **  -0.05744  -0.01072   0.05843  -169.431  -12.3256   **  -12.3068   143.4961 
 -82.000   0.00397  -0.00193   0.00441   -25.979  -34.7600   **  -0.05634  -0.00997   0.05722  -169.961  -12.5080   **  -12.4822   143.9823 
 -81.000   0.00449  -0.00219   0.00499   -26.026  -33.6942   **  -0.05510  -0.00914   0.05585  -170.583  -12.7172   **  -12.6826   144.5568 
 -80.000   0.00501  -0.00245   0.00557   -26.076  -32.7338   **  -0.05373  -0.00822   0.05435  -171.306  -12.9539   **  -12.9085   145.2297 
 -79.000   0.00554  -0.00272   0.00617   -26.128  -31.8590   **  -0.05222  -0.00721   0.05272  -172.141  -13.2193   **  -13.1603   146.0132 
 -78.000   0.00607  -0.00298   0.00676   -26.181  -31.0556   **  -0.05059  -0.00612   0.05096  -173.103  -13.5144   **  -13.4386   146.9221 
 -77.000   0.00661  -0.00326   0.00737   -26.234  -30.3128   **  -0.04883  -0.00495   0.04908  -174.208  -13.8405   **  -13.7438   147.9741 
