 [antenna_pattern.dat]

  É” = 90.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
   -90.000  -30.0000  -19.0751  -24.7196  -24.7196
   -89.000  -30.0000  -19.0868  -24.7775  -24.6850
   -88.000  -30.0000  -19.1219  -24.8589  -24.6733
   -87.000  -30.0000  -19.1806  -24.9643  -24.6844
   -86.000  -30.0000  -19.2631  -25.0941  -24.7183
   -85.000  -30.0000  -19.3698  -25.2489  -24.7749
   -84.000  -30.0000  -19.5011  -25.4292  -24.8545
   -83.000  -30.0000  -19.6576  -25.6359  -24.9573
   -82.000  -30.0000  -19.8401  -25.8694  -25.0837
   -81.000  -30.0000  -20.0492  -26.1304  -25.2341
   -80.000  -30.0000  -20.2860  -26.4194  -25.4093
   -79.000  -30.0000  -20.5514  -26.7366  -25.6100
   -78.000  -30.0000  -20.8465  -27.0822  -25.8371
   -77.000  -30.0000  -21.1726  -27.4553  -26.0919
   -76.000  -30.0000  -21.5309  -27.8547  -26.3758
   -75.000  -30.0000  -21.9226  -28.2777  -26.6903
   -74.000  -30.0000  -22.3489  -28.7199  -27.0373
   -73.000  -30.0000  -22.8107  -29.1743  -27.4193
   -72.000  -30.0000  -23.3083  -29.6307  -27.8387
   -71.000  -30.0000  -23.8412  -30.0000  -28.2989
   -70.000  -30.0000  -24.4074  -30.0000  -28.8034
   -69.000  -30.0000  -25.0025  -30.0000  -29.3566
   -68.000  -30.0000  -25.6183  -30.0000  -29.9636
   -67.000  -30.0000  -26.2415  -30.0000  -30.0000
   -66.000  -30.0000  -26.8510  -30.0000  -30.0000
   -65.000  -30.0000  -27.4172  -30.0000  -30.0000
   -64.000  -30.0000  -27.9016  -30.0000  -30.0000
   -63.000  -30.0000  -28.2614  -30.0000  -30.0000
   -62.000  -30.0000  -28.4586  -30.0000  -30.0000
   -61.000  -30.0000  -28.4727  -30.0000  -30.0000
   -60.000  -30.0000  -28.3080  -29.6421  -30.0000
   -59.000  -30.0000  -27.9929  -29.2095  -30.0000
   -58.000  -30.0000  -27.5690  -28.7886  -30.0000
   -57.000  -30.0000  -27.0797  -28.3914  -30.0000
   -56.000  -30.0000  -26.5622  -28.0263  -30.0000
   -55.000  -30.0000  -26.0448  -27.7000  -30.0000
   -54.000  -30.0000  -25.5470  -27.4172  -30.0000
   -53.000  -30.0000  -25.0821  -27.1822  -30.0000
   -52.000  -30.0000  -24.6583  -26.9986  -30.0000
   -51.000  -30.0000  -24.2808  -26.8701  -30.0000
   -50.000  -30.0000  -23.9530  -26.8006  -30.0000
   -49.000  -30.0000  -23.6771  -26.7950  -30.0000
   -48.000  -30.0000  -23.4548  -26.8588  -30.0000
   -47.000  -30.0000  -23.2877  -26.9992  -30.0000
   -46.000  -30.0000  -23.1775  -27.2253  -30.0000
   -45.000  -30.0000  -23.1264  -27.5489  -30.0000
   -44.000  -30.0000  -23.1369  -27.9855  -29.5465
   -43.000  -30.0000  -23.2121  -28.5556  -29.0814
   -42.000  -30.0000  -23.3560  -29.2872  -28.6645
   -41.000  -30.0000  -23.5730  -30.0000  -28.2920
   -40.000  -30.0000  -23.8682  -30.0000  -27.9609
   -39.000  -30.0000  -24.2467  -30.0000  -27.6684
   -38.000  -30.0000  -24.7126  -30.0000  -27.4126
   -37.000  -30.0000  -25.2665  -30.0000  -27.1914
   -36.000  -28.4267  -25.8996  -30.0000  -27.0034
   -35.000  -26.7981  -26.5835  -30.0000  -26.8474
   -34.000  -25.3353  -27.2501  -30.0000  -26.7223
   -33.000  -24.0049  -27.7690  -30.0000  -26.6274
   -32.000  -22.7825  -27.9495  -28.1239  -26.5621
   -31.000  -21.6503  -27.6234  -26.1160  -26.5259
   -30.000  -20.5947  -26.7760  -24.3524  -26.5186
   -29.000  -19.6055  -25.5597  -22.7833  -26.5399
   -28.000  -18.6741  -24.1685  -21.3703  -26.5899
   -27.000  -17.7941  -22.7422  -20.0845  -26.6687
   -26.000  -16.9599  -21.3557  -18.9045  -26.7763
   -25.000  -16.1672  -20.0410  -17.8137  -26.9130
   -24.000  -15.4122  -18.8079  -16.7995  -27.0792
   -23.000  -14.6918  -17.6556  -15.8517  -27.2751
   -22.000  -14.0033  -16.5794  -14.9625  -27.5009
   -21.000  -13.3443  -15.5729  -14.1254  -27.7569
   -20.000  -12.7130  -14.6298  -13.3349  -28.0430
   -19.000  -12.1075  -13.7443  -12.5867  -28.3589
   -18.000  -11.5264  -12.9111  -11.8770  -28.7036
   -17.000  -10.9683  -12.1255  -11.2027  -29.0754
   -16.000  -10.4321  -11.3834  -10.5611  -29.4715
   -15.000   -9.9166  -10.6814   -9.9499  -29.8872
   -14.000   -9.4209  -10.0162   -9.3670  -30.0000
   -13.000   -8.9442   -9.3853   -8.8108  -30.0000
   -12.000   -8.4857   -8.7862   -8.2795  -30.0000
   -11.000   -8.0447   -8.2169   -7.7720  -30.0000
   -10.000   -7.6206   -7.6756   -7.2869  -30.0000
    -9.000   -7.2127   -7.1606   -6.8232  -30.0000
    -8.000   -6.8207   -6.6705   -6.3799  -30.0000
    -7.000   -6.4439   -6.2040   -5.9561  -30.0000
    -6.000   -6.0820   -5.7600   -5.5511  -30.0000
    -5.000   -5.7344   -5.3375   -5.1641  -30.0000
    -4.000   -5.4010   -4.9355   -4.7945  -30.0000
    -3.000   -5.0812   -4.5532   -4.4417  -30.0000
    -2.000   -4.7747   -4.1899   -4.1052  -30.0000
    -1.000   -4.4813   -3.8448   -3.7845  -30.0000
     0.000   -4.2007   -3.5174   -3.4790  -30.0000
     1.000   -3.9326   -3.2070   -3.1885  -29.5998
     2.000   -3.6767   -2.9132   -2.9125  -29.1395
     3.000   -3.4328   -2.6355   -2.6506  -28.6992
     4.000   -3.2007   -2.3735   -2.4026  -28.2840
     5.000   -2.9802   -2.1268   -2.1681  -27.8972
     6.000   -2.7711   -1.8949   -1.9468  -27.5409
     7.000   -2.5731   -1.6777   -1.7385  -27.2165
     8.000   -2.3862   -1.4747   -1.5430  -26.9245
     9.000   -2.2100   -1.2857   -1.3600  -26.6654
    10.000   -2.0446   -1.1104   -1.1893  -26.4393
    11.000   -1.8897   -0.9486   -1.0307  -26.2464
    12.000   -1.7452   -0.8002   -0.8840  -26.0867
    13.000   -1.6109   -0.6648   -0.7491  -25.9604
    14.000   -1.4867   -0.5424   -0.6258  -25.8677
    15.000   -1.3725   -0.4327   -0.5139  -25.8090
    16.000   -1.2682   -0.3356   -0.4134  -25.7850
    17.000   -1.1736   -0.2510   -0.3241  -25.7964
    18.000   -1.0887   -0.1788   -0.2458  -25.8444
    19.000   -1.0133   -0.1188   -0.1785  -25.9301
    20.000   -0.9473   -0.0710   -0.1221  -26.0554
    21.000   -0.8906   -0.0353   -0.0764  -26.2223
    22.000   -0.8432   -0.0117   -0.0414  -26.4336
    23.000   -0.8050    0.0000   -0.0171  -26.6925
    24.000   -0.7757   -0.0003   -0.0033  -27.0031
    25.000   -0.7555   -0.0125    0.0000  -27.3704
    26.000   -0.7442   -0.0366   -0.0071  -27.8008
    27.000   -0.7417   -0.0727   -0.0247  -28.3025
    28.000   -0.7480   -0.1207   -0.0526  -28.8859
    29.000   -0.7630   -0.1806   -0.0908  -29.5646
    30.000   -0.7866   -0.2525   -0.1394  -30.0000
    31.000   -0.8188   -0.3365   -0.1983  -30.0000
    32.000   -0.8595   -0.4327   -0.2674  -30.0000
    33.000   -0.9087   -0.5411   -0.3469  -30.0000
    34.000   -0.9663   -0.6617   -0.4366  -30.0000
    35.000   -1.0322   -0.7949   -0.5367  -30.0000
    36.000   -1.1066   -0.9406   -0.6472  -30.0000
    37.000   -1.1892   -1.0991   -0.7681  -30.0000
    38.000   -1.2802   -1.2706   -0.8995  -30.0000
    39.000   -1.3794   -1.4552   -1.0413  -30.0000
    40.000   -1.4869   -1.6531   -1.1938  -30.0000
    41.000   -1.6026   -1.8648   -1.3569  -30.0000
    42.000   -1.7266   -2.0903   -1.5309  -30.0000
    43.000   -1.8588   -2.3301   -1.7157  -30.0000
    44.000   -1.9993   -2.5846   -1.9116  -30.0000
    45.000   -2.1482   -2.8541   -2.1187  -29.4465
    46.000   -2.3053   -3.1390   -2.3371  -28.2754
    47.000   -2.4709   -3.4399   -2.5671  -27.2381
    48.000   -2.6450   -3.7572   -2.8088  -26.3100
    49.000   -2.8275   -4.0917   -3.0625  -25.4732
    50.000   -3.0187   -4.4440   -3.3285  -24.7141
    51.000   -3.2187   -4.8147   -3.6070  -24.0220
    52.000   -3.4275   -5.2048   -3.8983  -23.3890
    53.000   -3.6453   -5.6151   -4.2029  -22.8082
    54.000   -3.8724   -6.0467   -4.5210  -22.2745
    55.000   -4.1088   -6.5007   -4.8532  -21.7835
    56.000   -4.3549   -6.9784   -5.2000  -21.3317
    57.000   -4.6109   -7.4813   -5.5618  -20.9161
    58.000   -4.8771   -8.0108   -5.9393  -20.5341
    59.000   -5.1539   -8.5688   -6.3333  -20.1839
    60.000   -5.4416   -9.1572   -6.7443  -19.8637
    61.000   -5.7408   -9.7784   -7.1733  -19.5720
    62.000   -6.0519  -10.4348   -7.6213  -19.3077
    63.000   -6.3756  -11.1291   -8.0894  -19.0699
    64.000   -6.7125  -11.8643   -8.5787  -18.8578
    65.000   -7.0634  -12.6437   -9.0906  -18.6708
    66.000   -7.4292  -13.4706   -9.6268  -18.5086
