 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00295572  -0.00073707   0.00304624       -14.00
     2   0.00278807  -0.00102378   0.00297010       -20.16
     3   0.00256363  -0.00130671   0.00287744       -27.01
     4   0.00228223  -0.00158256   0.00277724       -34.74
     5   0.00194793  -0.00184036   0.00267981       -43.37
     6   0.00156401  -0.00207312   0.00259691       -52.97
     7   0.00113451  -0.00227462   0.00254185       -63.49
     8   0.00066440  -0.00243974   0.00252858       -74.77
     9   0.00015970  -0.00256420   0.00256917       -86.44
    10  -0.00037236  -0.00264468   0.00267076       -98.01
    11  -0.00092335  -0.00267883   0.00283350      -109.02
    12  -0.00148370  -0.00266535   0.00305049      -119.10
    13  -0.00204281  -0.00260402   0.00330968      -128.11
    14  -0.00258921  -0.00249575   0.00359622      -136.05
    15  -0.00311086  -0.00234253   0.00389421      -143.02
    16  -0.00359535  -0.00214744   0.00418785      -149.15
    17  -0.00403033  -0.00191450   0.00446194      -154.59
    18  -0.00440380  -0.00164858   0.00470226      -159.48
    19  -0.00470451  -0.00135528   0.00489583      -163.93
    20  -0.00492235  -0.00104070   0.00503117      -168.06
    21  -0.00504874  -0.00071129   0.00509860      -171.98
    22  -0.00507691  -0.00037364   0.00509064      -175.79
    23  -0.00500226  -0.00003432   0.00500238      -179.61
    24  -0.00482255   0.00030032   0.00483189      -183.56
    25  -0.00453811   0.00062432   0.00458085      -187.83
    26  -0.00415190   0.00093219   0.00425526      -192.65
    27  -0.00366954   0.00121908   0.00386674      -198.38
    28  -0.00309921   0.00148079   0.00343480      -205.54
    29  -0.00245149   0.00171386   0.00299118      -214.96
    30  -0.00173910   0.00191556   0.00258725      -227.76
    31  -0.00097657   0.00208389   0.00230137      -244.89
    32  -0.00017986   0.00221755   0.00222483      -265.36
    33   0.00063410   0.00231589   0.00240113      -285.31
    34   0.00144785   0.00237890   0.00278486      -301.33
    35   0.00224395   0.00240717   0.00329086      -312.99
    36   0.00300538   0.00240185   0.00384723      -321.37
    37   0.00371605   0.00236464   0.00440461      -327.53
    38   0.00436104   0.00229788   0.00492940      -332.21
    39   0.00492715   0.00220431   0.00539776      -335.90
    40   0.00540001   0.00208875   0.00578990      -338.85
    41   0.00577431   0.00195142   0.00609514      -341.33
    42   0.00318046   0.00176789   0.00363879      -330.93
    43   0.00330753   0.00162617   0.00368567        26.18
    44   0.00345098   0.00141786   0.00373090        22.34
    45   0.00354457   0.00118545   0.00373754        18.49
    46   0.00359259   0.00093436   0.00371211        14.58
    47   0.00358943   0.00066754   0.00365098        10.54
    48   0.00356352   0.00045666   0.00359266         7.30
    49   0.00052684   0.00097613   0.00110923        61.64
    50   0.00045599   0.00081770   0.00093625        60.85
    51   0.00031472   0.00052805   0.00061473        59.21
    52   0.00201360   0.00045886   0.00206522        12.84
    53   0.00219698   0.00025539   0.00221178         6.63
    54   0.00234824   0.00004298   0.00234864         1.05
    55   0.00246711  -0.00017594   0.00247338        -4.08
    56   0.00254794  -0.00039415   0.00257825        -8.79
    57   0.00258844  -0.00060687   0.00265863       -13.19
    58   0.00258711  -0.00080969   0.00271085       -17.38
    59   0.00254335  -0.00099867   0.00273240       -21.44
    60   0.00245730  -0.00117030   0.00272175       -25.47
    61   0.00232972  -0.00132146   0.00267841       -29.56
    62   0.00216201  -0.00144944   0.00260291       -33.84
    63   0.00195615  -0.00155198   0.00249703       -38.43
    64   0.00171470  -0.00162726   0.00236393       -43.50
    65   0.00144072  -0.00167394   0.00220857       -49.28
    66   0.00113778  -0.00169119   0.00203830       -56.07
    67   0.00080991  -0.00167863   0.00186380       -64.24
    68   0.00046151  -0.00163641   0.00170024       -74.25
    69   0.00009735  -0.00156515   0.00156817       -86.44
    70  -0.00027750  -0.00146595   0.00149198      -100.72
    71  -0.00065779  -0.00134038   0.00149308      -116.14
    72  -0.00103806  -0.00119043   0.00157946      -131.09
    73  -0.00141281  -0.00101852   0.00174167      -144.21
    74  -0.00177651  -0.00082741   0.00195975      -155.03
    75  -0.00212371  -0.00062020   0.00221242      -163.72
    76  -0.00244908  -0.00040028   0.00248158      -170.72
    77  -0.00274754  -0.00017124   0.00275287      -176.43
    78  -0.00301429   0.00006312   0.00301495      -181.20
    79  -0.00324489   0.00029892   0.00325863      -185.26
    80  -0.00343536   0.00053221   0.00347634      -188.81
    81  -0.00358219   0.00075904   0.00366173      -191.96
    82  -0.00368247   0.00097556   0.00380950      -194.84
    83  -0.00373386   0.00117802   0.00391529      -197.51
    84  -0.00373471   0.00136290   0.00397562      -200.05
    85  -0.00368403   0.00152692   0.00398792      -202.51
    86  -0.00358156   0.00166710   0.00395055      -204.96
    87  -0.00342778   0.00178085   0.00386279      -207.45
    88  -0.00322390   0.00186598   0.00372497      -210.06
    89  -0.00297187   0.00192073   0.00353853      -212.87
    90  -0.00267434   0.00194387   0.00330616      -216.01
    91  -0.00233467   0.00193463   0.00303208      -219.65
    92  -0.00195686   0.00189282   0.00272252      -224.05
    93  -0.00154555   0.00181876   0.00238676      -229.64
    94  -0.00110588   0.00171332   0.00203922      -237.16
    95  -0.00064352   0.00157790   0.00170408      -247.81
    96  -0.00016453   0.00141443   0.00142397      -263.37
    97   0.00032470   0.00122532   0.00126761      -284.84
    98   0.00081753   0.00101343   0.00130207      -308.89
    99   0.00130716   0.00078206   0.00152325      -329.11
   100   0.00178676   0.00053485   0.00186509      -343.34
   101   0.00224952   0.00027575   0.00226636      -353.01
   102   0.00268879   0.00000895   0.00268880      -359.81
   103   0.00309814  -0.00026116   0.00310913      -364.82
   104   0.00347151  -0.00053013   0.00351175      -368.68
   105   0.00380322  -0.00079345   0.00388511      -371.78
   106   0.00408816  -0.00104668   0.00422003      -374.36
   107   0.00432180  -0.00128551   0.00450893      -376.57
   108   0.00450026  -0.00150583   0.00474551      -378.50
   109   0.00462044  -0.00170380   0.00492457      -380.24
   110   0.00468001  -0.00187595   0.00504199      -381.84
   111   0.00467750  -0.00201921   0.00509472      -383.35
   112   0.00461229  -0.00213096   0.00508077      -384.80
   113   0.00448469  -0.00220915   0.00499928      -386.22
   114   0.00429589  -0.00225224   0.00485049      -387.67
   115   0.00404798  -0.00225931   0.00463580      -389.17
   116   0.00374395  -0.00223007   0.00435780      -390.78
   117   0.00338763  -0.00216481   0.00402026      -392.58
   118   0.00298367  -0.00206449   0.00362828      -394.68
   119   0.00253744  -0.00193066   0.00318842      -397.27
   120   0.00205503  -0.00176544   0.00270923      -400.67
   121   0.00154312  -0.00157153   0.00220248      -405.52
   122   0.00100888  -0.00135212   0.00168703      -413.27
   123   0.00045992  -0.00111085   0.00120230      -427.51
   124  -0.00009585  -0.00085174   0.00085712      -456.42
   125  -0.00065036  -0.00057912   0.00087083      -498.32
   126  -0.00119542  -0.00029755   0.00123190      -526.02
   127  -0.00172294  -0.00001173   0.00172298      -539.61
   128  -0.00222496   0.00027356   0.00224172      -547.01
   129  -0.00269387   0.00055361   0.00275016      -551.61
   130  -0.00312242   0.00082381   0.00322927      -554.78
   131  -0.00350394   0.00107974   0.00366653      -557.13
   132  -0.00383237   0.00131730   0.00405245      -558.97
   133  -0.00410239   0.00153272   0.00437936      -560.49
   134  -0.00430949   0.00172267   0.00464105      -561.79
   135  -0.00445005   0.00188429   0.00483254      -562.95
   136  -0.00452134   0.00201519   0.00495010       155.98
   137  -0.00452158   0.00211352   0.00499115       154.95
   138  -0.00444993   0.00217791   0.00495430       153.92
   139  -0.00430655   0.00220744   0.00483934       152.86
   140  -0.00409291   0.00220168   0.00464751       151.72
   141  -0.00381236   0.00216076   0.00438212       150.46
   142   0.00001453   0.00176460   0.00176466        89.53
   143   0.00032242   0.00166533   0.00169625        79.04
   144   0.00062034   0.00154152   0.00166166        68.08
   145   0.00090069   0.00139842   0.00166337        57.22
