 [antenna_field.dat]

  É” = 315.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
 -90.000   0.00000   0.00000   0.00000    45.654  -60.0000   **  -0.00502   0.00254   0.00563   153.160  -30.8511   **  -30.8511  -107.5063 
 -89.000  -0.00026   0.00128   0.00131   101.591  -43.5086   **  -0.00507   0.00257   0.00569   153.126  -30.7582   **  -30.5336   -51.5349 
 -88.000  -0.00053   0.00257   0.00262   101.571  -37.4843   **  -0.00523   0.00266   0.00587   153.028  -30.4858   **  -29.6955   -51.4564 
 -87.000  -0.00079   0.00386   0.00394   101.538  -33.9563   **  -0.00549   0.00281   0.00617   152.874  -30.0507   **  -28.5682   -51.3358 
 -86.000  -0.00105   0.00515   0.00525   101.492  -31.4492   **  -0.00586   0.00303   0.00659   152.677  -29.4777   **  -27.3422   -51.1852 
 -85.000  -0.00130   0.00644   0.00657   101.433  -29.5005   **  -0.00632   0.00330   0.00713   152.451  -28.7950   **  -26.1231   -51.0172 
 -84.000  -0.00156   0.00774   0.00790   101.362  -27.9045   **  -0.00689   0.00363   0.00779   152.204  -28.0311   **  -24.9570   -50.8425 
 -83.000  -0.00181   0.00905   0.00923   101.278  -26.5515   **  -0.00755   0.00402   0.00856   151.947  -27.2119   **  -23.8589   -50.6690 
 -82.000  -0.00205   0.01037   0.01057   101.182  -25.3763   **  -0.00831   0.00448   0.00944   151.683  -26.3595   **  -22.8299   -50.5015 
 -81.000  -0.00229   0.01169   0.01191   101.074  -24.3369   **  -0.00916   0.00499   0.01043   151.416  -25.4917   **  -21.8657   -50.3424 
 -80.000  -0.00252   0.01302   0.01326   100.954  -23.4048   **  -0.01010   0.00556   0.01153   151.146  -24.6222   **  -20.9607   -50.1923 
 -79.000  -0.00274   0.01436   0.01462   100.823  -22.5597   **  -0.01112   0.00620   0.01273   150.874  -23.7615   **  -20.1089   -50.0502 
 -78.000  -0.00296   0.01570   0.01598   100.682  -21.7870   **  -0.01222   0.00689   0.01403   150.597  -22.9169   **  -19.3050   -49.9148 
 -77.000  -0.00317   0.01705   0.01734   100.529  -21.0756   **  -0.01340   0.00764   0.01542   150.313  -22.0936   **  -18.5446   -49.7840 
 -76.000  -0.00337   0.01840   0.01871   100.367  -20.4170   **  -0.01465   0.00845   0.01691   150.022  -21.2953   **  -17.8237   -49.6554 
 -75.000  -0.00355   0.01976   0.02007   100.194  -19.8047   **  -0.01596   0.00932   0.01848   149.721  -20.5242   **  -17.1393   -49.5270 
 -74.000  -0.00373   0.02111   0.02144   100.012  -19.2335   **  -0.01732   0.01024   0.02013   149.408  -19.7815   **  -16.4886   -49.3962 
 -73.000  -0.00389   0.02246   0.02280    99.819  -18.6994   **  -0.01874   0.01123   0.02185   149.080  -19.0679   **  -15.8694   -49.2609 
 -72.000  -0.00403   0.02381   0.02415    99.618  -18.1991   **  -0.02021   0.01227   0.02364   148.737  -18.3836   **  -15.2801   -49.1189 
 -71.000  -0.00417   0.02514   0.02549    99.406  -17.7301   **  -0.02171   0.01337   0.02549   148.375  -17.7284   **  -14.7189   -48.9680 
 -70.000  -0.00428   0.02647   0.02681    99.186  -17.2903   **  -0.02323   0.01452   0.02740   147.992  -17.1020   **  -14.1848   -48.8062 
 -69.000  -0.00438   0.02777   0.02811    98.955  -16.8781   **  -0.02478   0.01573   0.02935   147.587  -16.5037   **  -13.6766   -48.6313 
 -68.000  -0.00445   0.02905   0.02939    98.715  -16.4924   **  -0.02634   0.01700   0.03135   147.156  -15.9331   **  -13.1935   -48.4414 
 -67.000  -0.00451   0.03030   0.03064    98.464  -16.1322   **  -0.02789   0.01832   0.03337   146.699  -15.3894   **  -12.7347   -48.2345 
 -66.000  -0.00454   0.03152   0.03184    98.203  -15.7969   **  -0.02944   0.01970   0.03542   146.212  -14.8720   **  -12.2996   -48.0086 
 -65.000  -0.00455   0.03269   0.03300    97.931  -15.4861   **  -0.03096   0.02113   0.03748   145.692  -14.3802   **  -11.8877   -47.7618 
 -64.000  -0.00454   0.03380   0.03411    97.646  -15.1995   **  -0.03245   0.02261   0.03955   145.138  -13.9133   **  -11.4987   -47.4920 
 -63.000  -0.00450   0.03486   0.03515    97.348  -14.9373   **  -0.03390   0.02414   0.04162   144.546  -13.4707   **  -11.1321   -47.1974 
 -62.000  -0.00443   0.03586   0.03613    97.036  -14.6996   **  -0.03530   0.02573   0.04368   143.912  -13.0518   **  -10.7877   -46.8758 
 -61.000  -0.00433   0.03677   0.03702    96.709  -14.4867   **  -0.03662   0.02736   0.04571   143.234  -12.6560   **  -10.4653   -46.5254 
 -60.000  -0.00419   0.03760   0.03783    96.364  -14.2994   **  -0.03786   0.02904   0.04772   142.508  -12.2827   **  -10.1647   -46.1442 
 -59.000  -0.00403   0.03833   0.03854    95.999  -14.1384   **  -0.03901   0.03078   0.04969   141.729  -11.9313   **   -9.8859   -45.7302 
